thrower_x,thrower_y,possession_num,possession_throw,game_quarter,quarter_point,is_home_team,home_team_score,away_team_score,gameID,total_points,home_teamID,away_teamID,times,home_team_win,score_diff
12.75,19.87,1,1,1,0,False,0,0,2023-06-30-DC-NY,0,empire,breeze,2880.0,1,0
3.57,25.7,1,2,1,0,False,0,0,2023-06-30-DC-NY,0,empire,breeze,2874.818181818182,1,0
-7.29,22.2,1,3,1,0,False,0,0,2023-06-30-DC-NY,0,empire,breeze,2869.6363636363635,1,0
-17.35,27.74,1,4,1,0,False,0,0,2023-06-30-DC-NY,0,empire,breeze,2864.4545454545455,1,0
-26.45,33.34,1,5,1,0,False,0,0,2023-06-30-DC-NY,0,empire,breeze,2859.272727272727,1,0
-21.06,28.76,1,6,1,0,False,0,0,2023-06-30-DC-NY,0,empire,breeze,2854.090909090909,1,0
-16.03,27.08,1,7,1,0,False,0,0,2023-06-30-DC-NY,0,empire,breeze,2848.909090909091,1,0
8.01,35.31,1,8,1,0,False,0,0,2023-06-30-DC-NY,0,empire,breeze,2843.727272727273,1,0
18.28,45.21,1,9,1,0,False,0,0,2023-06-30-DC-NY,0,empire,breeze,2838.5454545454545,1,0
10.92,39.9,1,10,1,0,False,0,0,2023-06-30-DC-NY,0,empire,breeze,2833.3636363636365,1,0
11.22,51.11,1,11,1,0,False,0,0,2023-06-30-DC-NY,0,empire,breeze,2828.181818181818,1,0
11.8,61.16,1,12,1,0,False,0,0,2023-06-30-DC-NY,0,empire,breeze,2823.0,1,0
4.02,15.27,1,1,1,0,True,0,1,2023-06-30-DC-NY,1,empire,breeze,2822.0,1,-1
-10.17,21.34,1,2,1,0,True,0,1,2023-06-30-DC-NY,1,empire,breeze,2816.764705882353,1,-1
-8.19,30.4,1,3,1,0,True,0,1,2023-06-30-DC-NY,1,empire,breeze,2811.529411764706,1,-1
-18.28,43.84,1,4,1,0,True,0,1,2023-06-30-DC-NY,1,empire,breeze,2806.2941176470586,1,-1
-0.62,40.84,1,5,1,0,True,0,1,2023-06-30-DC-NY,1,empire,breeze,2801.0588235294117,1,-1
-9.62,41.38,1,6,1,0,True,0,1,2023-06-30-DC-NY,1,empire,breeze,2795.823529411765,1,-1
1.43,41.65,1,7,1,0,True,0,1,2023-06-30-DC-NY,1,empire,breeze,2790.5882352941176,1,-1
15.34,50.18,1,8,1,0,True,0,1,2023-06-30-DC-NY,1,empire,breeze,2785.3529411764707,1,-1
2.25,47.11,1,9,1,0,True,0,1,2023-06-30-DC-NY,1,empire,breeze,2780.1176470588234,1,-1
-15.01,52.09,1,10,1,0,True,0,1,2023-06-30-DC-NY,1,empire,breeze,2774.8823529411766,1,-1
2.04,50.59,1,11,1,0,True,0,1,2023-06-30-DC-NY,1,empire,breeze,2769.6470588235293,1,-1
11.04,59.99,1,12,1,0,True,0,1,2023-06-30-DC-NY,1,empire,breeze,2764.4117647058824,1,-1
15.48,67.43,1,13,1,0,True,0,1,2023-06-30-DC-NY,1,empire,breeze,2759.176470588235,1,-1
18.41,80.11,1,14,1,0,True,0,1,2023-06-30-DC-NY,1,empire,breeze,2753.9411764705883,1,-1
1.02,71.45,1,15,1,0,True,0,1,2023-06-30-DC-NY,1,empire,breeze,2748.7058823529414,1,-1
-4.92,81.2,1,16,1,0,True,0,1,2023-06-30-DC-NY,1,empire,breeze,2743.470588235294,1,-1
-16.51,89.45,1,17,1,0,True,0,1,2023-06-30-DC-NY,1,empire,breeze,2738.235294117647,1,-1
14.86,91.56,1,18,1,0,True,0,1,2023-06-30-DC-NY,1,empire,breeze,2733.0,1,-1
13.62,15.14,1,1,1,0,False,1,1,2023-06-30-DC-NY,2,empire,breeze,2732.0,1,0
12.53,22.13,1,2,1,0,False,1,1,2023-06-30-DC-NY,2,empire,breeze,2727.0588235294117,1,0
13.55,26.94,1,3,1,0,False,1,1,2023-06-30-DC-NY,2,empire,breeze,2722.1176470588234,1,0
7.79,21.69,1,4,1,0,False,1,1,2023-06-30-DC-NY,2,empire,breeze,2717.176470588235,1,0
19.67,36.91,1,5,1,0,False,1,1,2023-06-30-DC-NY,2,empire,breeze,2712.235294117647,1,0
15.3,42.37,1,6,1,0,False,1,1,2023-06-30-DC-NY,2,empire,breeze,2707.2941176470586,1,0
4.0,41.28,1,7,1,0,False,1,1,2023-06-30-DC-NY,2,empire,breeze,2702.3529411764707,1,0
1.31,37.35,1,8,1,0,False,1,1,2023-06-30-DC-NY,2,empire,breeze,2697.4117647058824,1,0
-7.44,34.51,1,9,1,0,False,1,1,2023-06-30-DC-NY,2,empire,breeze,2692.470588235294,1,0
-8.97,46.09,1,10,1,0,False,1,1,2023-06-30-DC-NY,2,empire,breeze,2687.529411764706,1,0
