,teamID,year,city,name_x,fullName,abbrev,wins,losses,ties,standing,divisionID,name_y
0,allstars1,2000,Rowan's,All-Stars,Rowan's All-Stars,Rowan,0,0,0,1,east,East
1,union,2013,Chicago,Union,Chicago Union,CHI,14,3,0,2,midwest,Midwest
2,allstars2,2000,KPS',All-Stars,KPS' All-Stars,KPS,0,0,0,2,midwest,Midwest
3,empire,2022,New York,Empire,New York Empire,NY,15,0,0,1,east,East
4,breeze,2022,DC,Breeze,DC Breeze,DC,11,3,0,2,east,East
5,allstars1,2022,East-Central,All-Stars,East-Central All-Stars,EC,0,0,0,1,allstars,All Stars
6,radicals,2023,Madison,Radicals,Madison Radicals,MAD,1,7,0,5,central,Central
7,flyers,2022,Carolina,Flyers,Carolina Flyers,CAR,12,2,0,1,south,South
8,sol,2022,Austin,Sol,Austin Sol,ATX,9,4,0,2,south,South
9,royal,2021,Montreal,Royal,Montreal Royal,MTL,7,2,0,2,canada,Canada
10,outlaws,2021,Ottawa,Outlaws,Ottawa Outlaws,OTT,3,5,0,3,canada,Canada
11,rush,2021,Toronto,Rush,Toronto Rush,TOR,3,6,0,1,canada,Canada
12,flyers,2019,Raleigh,Flyers,Raleigh Flyers,RAL,10,3,0,2,south,South
13,legion,2019,Dallas,Legion,Dallas Legion,DAL,10,5,0,1,south,South
14,hustle,2019,Atlanta,Hustle,Atlanta Hustle,ATL,5,7,0,3,south,South
15,cannons,2019,Tampa Bay,Cannons,Tampa Bay Cannons,TB,4,8,0,4,south,South
16,sol,2019,Austin,Sol,Austin Sol,AUS,3,9,0,5,south,South
17,growlers,2019,San Diego,Growlers,San Diego Growlers,SD,11,3,0,1,west,West
18,aviators,2019,LA,Aviators,LA Aviators,LA,9,4,0,2,west,West
19,spiders,2019,San Jose,Spiders,San Jose Spiders,SJ,3,9,0,3,west,West
20,cascades,2019,Seattle,Cascades,Seattle Cascades,SEA,2,10,0,4,west,West
21,empire,2019,New York,Empire,New York Empire,NY,15,0,0,1,east,East
22,rush,2019,Toronto,Rush,Toronto Rush,TOR,8,6,0,2,east,East
23,breeze,2019,DC,Breeze,DC Breeze,DC,7,6,0,3,east,East
24,royal,2019,Montreal,Royal,Montreal Royal,MTL,4,8,0,4,east,East
25,phoenix,2019,Philadelphia,Phoenix,Philadelphia Phoenix,PHI,4,8,0,5,east,East
26,outlaws,2019,Ottawa,Outlaws,Ottawa Outlaws,OTT,3,9,0,6,east,East
27,alleycats,2019,Indianapolis,AlleyCats,Indianapolis AlleyCats,IND,9,5,0,1,midwest,Midwest
28,thunderbirds,2019,Pittsburgh,Thunderbirds,Pittsburgh Thunderbirds,PIT,9,5,0,2,midwest,Midwest
29,union,2019,Chicago,Union,Chicago Union,CHI,7,6,0,3,midwest,Midwest
30,radicals,2019,Madison,Radicals,Madison Radicals,MAD,6,6,0,5,midwest,Midwest
31,windchill,2019,Minnesota,Wind Chill,Minnesota Wind Chill,MIN,6,6,0,4,midwest,Midwest
32,mechanix,2019,Detroit,Mechanix,Detroit Mechanix,DET,0,12,0,6,midwest,Midwest
33,spinners,2012,Philadelphia,Spinners,Philadelphia Spinners,PHS,15,2,0,1,east,East
34,constitution,2012,Connecticut,Constitution,Connecticut Constitution,CON,8,4,0,3,east,East
35,rampage,2012,Rhode Island,Rampage,Rhode Island Rampage,RIR,6,9,0,2,east,East
36,dragons,2012,Rochester,Dragons,Rochester Dragons,ROC,3,12,0,4,east,East
37,revolution,2012,Cincinnati,Revolution,Cincinnati Revolution,CIN,8,8,0,2,midwest,Midwest
38,alleycats,2012,Indianapolis,AlleyCats,Indianapolis AlleyCats,IND,8,8,0,1,midwest,Midwest
39,cranes,2012,Columbus,Cranes,Columbus Cranes,CLB,7,9,0,3,midwest,Midwest
40,mechanix,2012,Detroit,Mechanix,Detroit Mechanix,DET,6,9,0,4,midwest,Midwest
41,rush,2013,Toronto,Rush,Toronto Rush,TOR,18,0,0,1,east,East
42,empire,2013,New York,Empire,New York Empire,NY,12,6,0,2,east,East
43,phoenix,2013,Philadelphia,Phoenix,Philadelphia Phoenix,PHI,9,8,0,3,east,East
44,dragons,2013,Rochester,Dragons,Rochester Dragons,ROC,6,10,0,4,east,East
45,breeze,2013,DC,Breeze,DC Breeze,DC,4,12,0,5,east,East
46,hammerheads,2013,New Jersey,Hammerheads,New Jersey Hammerheads,NJH,2,14,0,6,east,East
47,radicals,2013,Madison,Radicals,Madison Radicals,MAD,15,4,0,1,midwest,Midwest
48,alleycats,2013,Indianapolis,AlleyCats,Indianapolis AlleyCats,IND,9,8,0,3,midwest,Midwest
49,mechanix,2013,Detroit,Mechanix,Detroit Mechanix,DET,4,12,0,6,midwest,Midwest
50,windchill,2013,Minnesota,Wind Chill,Minnesota Wind Chill,MIN,4,12,0,4,midwest,Midwest
51,revolution,2013,Cincinnati,Revolution,Cincinnati Revolution,CIN,4,12,0,5,midwest,Midwest
52,radicals,2014,Madison,Radicals,Madison Radicals,MAD,13,3,0,1,midwest,Midwest
53,alleycats,2014,Indianapolis,AlleyCats,Indianapolis AlleyCats,IND,9,6,0,3,midwest,Midwest
54,union,2014,Chicago,Union,Chicago Union,CHI,9,6,0,2,midwest,Midwest
55,windchill,2014,Minnesota,Wind Chill,Minnesota Wind Chill,MIN,8,6,0,4,midwest,Midwest
56,hustle,2022,Atlanta,Hustle,Atlanta Hustle,ATL,8,4,0,3,south,South
57,mechanix,2022,Detroit,Mechanix,Detroit Mechanix,DET,0,12,0,6,central,Central
58,legion,2022,Dallas,Legion,Dallas Legion,DAL,1,11,0,4,south,South
59,cannons,2022,Tampa Bay,Cannons,Tampa Bay Cannons,TB,1,11,0,5,south,South
60,aviators,2023,LA,Aviators,LA Aviators,LA,6,4,0,4,west,West
61,revolution,2014,Cincinnati,Revolution,Cincinnati Revolution,CIN,4,10,0,5,midwest,Midwest
62,mechanix,2014,Detroit,Mechanix,Detroit Mechanix,DET,0,14,0,6,midwest,Midwest
63,rush,2016,Toronto,Rush,Toronto Rush,TOR,13,3,0,1,east,East
64,breeze,2016,DC,Breeze,DC Breeze,DC,11,5,0,2,east,East
65,empire,2016,New York,Empire,New York Empire,NY,7,8,0,3,east,East
66,outlaws,2016,Ottawa,Outlaws,Ottawa Outlaws,OTT,7,7,0,4,east,East
67,royal,2016,Montreal,Royal,Montreal Royal,MTL,6,8,0,5,east,East
68,phoenix,2016,Philadelphia,Phoenix,Philadelphia Phoenix,PHI,0,14,0,6,east,East
69,rush,2015,Toronto,Rush,Toronto Rush,TOR,14,2,0,1,east,East
70,empire,2015,New York,Empire,New York Empire,NY,12,4,0,2,east,East
71,royal,2015,Montreal,Royal,Montreal Royal,MTL,9,6,0,3,east,East
72,breeze,2015,DC,Breeze,DC Breeze,DC,7,7,0,5,east,East
73,outlaws,2015,Ottawa,Outlaws,Ottawa Outlaws,OTT,7,7,0,4,east,East
74,dragons,2015,Rochester,Dragons,Rochester Dragons,ROC,1,13,0,7,east,East
75,phoenix,2015,Philadelphia,Phoenix,Philadelphia Phoenix,PHI,1,13,0,6,east,East
76,rush,2017,Toronto,Rush,Toronto Rush,TOR,13,4,0,1,east,East
77,breeze,2017,DC,Breeze,DC Breeze,DC,11,5,0,2,east,East
78,royal,2017,Montreal,Royal,Montreal Royal,MTL,9,6,0,3,east,East
79,empire,2017,New York,Empire,New York Empire,NY,6,8,0,4,east,East
80,phoenix,2017,Philadelphia,Phoenix,Philadelphia Phoenix,PHI,4,10,0,5,east,East
81,outlaws,2017,Ottawa,Outlaws,Ottawa Outlaws,OTT,2,12,0,6,east,East
82,spiders,2015,San Jose,Spiders,San Jose Spiders,SJ,13,4,0,1,west,West
83,cascades,2015,Seattle,Cascades,Seattle Cascades,SEA,9,7,0,2,west,West
