,TEAM,Q1,Q2,Q3,Q4,T,GAME_INFO,OT1,OT2
0,Seattle Cascades,6,6,6,1,19,2021-06-12-SEA-SJ,,
1,San Jose Spiders,3,5,5,7,20,2021-06-12-SEA-SJ,,
0,Minnesota Wind Chill,4,2,5,7,18,2021-06-12-MIN-CHI,,
1,Chicago Union,7,6,4,6,23,2021-06-12-MIN-CHI,,
0,Pittsburgh Thunderbirds,5,1,5,4,15,2021-06-12-PIT-TB,,
1,Tampa Bay Cannons,5,3,3,7,18,2021-06-12-PIT-TB,,
0,DC Breeze,4,6,9,6,25,2021-06-12-DC-RAL,,
1,Raleigh Flyers,5,8,6,5,24,2021-06-12-DC-RAL,,
0,Atlanta Hustle,6,6,4,5,21,2021-06-11-ATL-BOS,,
1,Boston Glory,6,5,7,1,19,2021-06-11-ATL-BOS,,
0,San Diego Growlers,4,6,4,5,19,2021-06-05-SD-LA,,
1,LA Aviators,5,3,5,3,16,2021-06-05-SD-LA,,
0,Raleigh Flyers,2,2,7,6,18,2021-06-05-RAL-ATL,1,
1,Atlanta Hustle,2,5,6,4,19,2021-06-05-RAL-ATL,2,
0,Indianapolis AlleyCats,2,3,2,5,12,2021-06-05-IND-CHI,,
1,Chicago Union,7,3,3,7,20,2021-06-05-IND-CHI,,
0,Boston Glory,7,7,9,6,29,2021-06-05-BOS-PIT,,
1,Pittsburgh Thunderbirds,4,4,8,5,21,2021-06-05-BOS-PIT,,
0,Madison Radicals,7,9,8,10,34,2021-06-05-MAD-DET,,
1,Detroit Mechanix,3,3,1,3,10,2021-06-05-MAD-DET,,
0,Philadelphia Phoenix,5,5,6,4,20,2021-07-03-PHI-PIT,,
1,Pittsburgh Thunderbirds,6,5,5,7,23,2021-07-03-PHI-PIT,,
0,Madison Radicals,5,4,3,3,15,2021-07-02-MAD-CHI,,
1,Chicago Union,6,3,5,4,18,2021-07-02-MAD-CHI,,
0,Seattle Cascades,5,3,4,4,16,2021-07-02-SEA-AUS,,
1,Austin Sol,5,6,6,6,23,2021-07-02-SEA-AUS,,
0,New York Empire,3,5,3,6,17,2021-07-02-NY-DC,,
1,DC Breeze,6,5,4,5,20,2021-07-02-NY-DC,,
0,Detroit Mechanix,3,3,5,7,18,2021-06-27-DET-MAD,,
1,Madison Radicals,7,6,8,8,29,2021-06-27-DET-MAD,,
0,Dallas Legion,6,4,5,5,20,2021-06-26-DAL-SD,,
1,San Diego Growlers,5,5,6,5,21,2021-06-26-DAL-SD,,
0,Austin Sol,5,7,6,5,23,2021-06-26-AUS-SJ,,
1,San Jose Spiders,9,6,8,5,28,2021-06-26-AUS-SJ,,
0,Chicago Union,8,8,5,7,28,2021-06-26-CHI-IND,,
1,Indianapolis AlleyCats,3,5,6,6,20,2021-06-26-CHI-IND,,
0,Philadelphia Phoenix,8,4,3,2,17,2021-06-26-PHI-ATL,,
1,Atlanta Hustle,6,4,6,8,24,2021-06-26-PHI-ATL,,
0,Tampa Bay Cannons,4,5,4,5,18,2021-06-26-TB-NY,,
1,New York Empire,6,6,7,5,24,2021-06-26-TB-NY,,
0,Dallas Legion,6,4,7,6,23,2021-08-07-DAL-AUS,,
1,Austin Sol,3,5,6,8,22,2021-08-07-DAL-AUS,,
0,LA Aviators,2,8,4,3,17,2021-08-07-LA-SD,,
1,San Diego Growlers,4,8,6,6,24,2021-08-07-LA-SD,,
0,San Jose Spiders,6,5,6,6,23,2021-08-07-SJ-SEA,,
1,Seattle Cascades,3,6,4,2,15,2021-08-07-SJ-SEA,,
0,Detroit Mechanix,,,,,18,2021-08-07-DET-CHI,,
1,Chicago Union,,,,,22,2021-08-07-DET-CHI,,
0,Toronto Rush,5,6,1,4,16,2021-08-07-TOR-MTL,,
1,Montreal Royal,7,4,3,4,18,2021-08-07-TOR-MTL,,
0,DC Breeze,7,2,6,5,20,2021-08-06-DC-PHI,,
1,Philadelphia Phoenix,2,3,5,3,13,2021-08-06-DC-PHI,,
0,Raleigh Flyers,4,5,5,5,19,2021-08-06-RAL-BOS,,
1,Boston Glory,6,4,5,3,18,2021-08-06-RAL-BOS,,
0,Seattle Cascades,5,5,2,3,15,2021-08-01-SEA-LA,,
1,LA Aviators,3,7,6,4,20,2021-08-01-SEA-LA,,
0,San Jose Spiders,5,4,2,3,14,2021-08-01-SJ-DAL,,
1,Dallas Legion,3,3,4,5,15,2021-08-01-SJ-DAL,,
0,Pittsburgh Thunderbirds,3,4,8,7,22,2021-07-31-PIT-ATL,,
1,Atlanta Hustle,7,6,7,7,27,2021-07-31-PIT-ATL,,
0,San Jose Spiders,6,6,3,5,20,2021-08-21-SJ-LA,,
1,LA Aviators,2,6,6,7,21,2021-08-21-SJ-LA,,
0,Chicago Union,6,8,6,9,29,2021-08-21-CHI-DET,,
1,Detroit Mechanix,2,5,6,6,19,2021-08-21-CHI-DET,,
0,Atlanta Hustle,4,6,8,5,26,2021-08-21-ATL-PIT,2,1
1,Pittsburgh Thunderbirds,5,5,6,7,25,2021-08-21-ATL-PIT,2,0
0,San Jose Spiders,6,4,6,5,21,2021-08-20-SJ-SD,,
1,San Diego Growlers,8,6,5,5,24,2021-08-20-SJ-SD,,
0,Boston Glory,5,6,5,5,21,2021-08-20-BOS-NY,,
1,New York Empire,7,6,7,5,25,2021-08-20-BOS-NY,,
0,Minnesota Wind Chill,6,7,4,6,23,2021-08-15-MIN-IND,,
1,Indianapolis AlleyCats,7,7,2,3,19,2021-08-15-MIN-IND,,
0,Ottawa Outlaws,6,5,6,4,21,2021-08-15-OTT-TOR,,
1,Toronto Rush,7,5,7,4,23,2021-08-15-OTT-TOR,,
0,Pittsburgh Thunderbirds,3,5,4,4,16,2021-08-14-PIT-NY,,
1,New York Empire,7,3,6,4,20,2021-08-14-PIT-NY,,
0,Montreal Royal,6,5,3,6,20,2021-08-14-MTL-TOR,,
1,Toronto Rush,5,4,5,5,19,2021-08-14-MTL-TOR,,
0,Minnesota Wind Chill,4,8,6,6,24,2021-08-14-MIN-DET,,
1,Detroit Mechanix,4,2,5,4,15,2021-08-14-MIN-DET,,
0,DC Breeze,,,,,0,2022-06-10-DC-NY,,
1,New York Empire,,,,,0,2022-06-10-DC-NY,,
0,New York Empire,,,,,0,2022-06-04-NY-TOR,,
1,Toronto Rush,,,,,0,2022-06-04-NY-TOR,,
0,Boston Glory,,,,,0,2022-06-04-BOS-PHI,,
1,Philadelphia Phoenix,,,,,0,2022-06-04-BOS-PHI,,
0,Boston Glory,,,,,0,2022-06-03-BOS-DC,,
1,DC Breeze,,,,,0,2022-06-03-BOS-DC,,
0,DC Breeze,,,,,0,2022-05-28-DC-TOR,,
1,Toronto Rush,,,,,0,2022-05-28-DC-TOR,,
0,New York Empire,,,,,0,2022-05-28-NY-OTT,,
1,Ottawa Outlaws,,,,,0,2022-05-28-NY-OTT,,
0,New York Empire,,,,,0,2022-05-27-NY-MTL,,
1,Montreal Royal,,,,,0,2022-05-27-NY-MTL,,
0,Philadelphia Phoenix,,,,,0,2022-05-21-PHI-OTT,,
1,Ottawa Outlaws,,,,,0,2022-05-21-PHI-OTT,,
0,Toronto Rush,,,,,0,2022-05-21-TOR-NY,,
1,New York Empire,,,,,0,2022-05-21-TOR-NY,,
0,Philadelphia Phoenix,,,,,0,2022-05-20-PHI-MTL,,
1,Montreal Royal,,,,,0,2022-05-20-PHI-MTL,,
0,Ottawa Outlaws,,,,,0,2022-07-30-OTT-PHI,,
1,Philadelphia Phoenix,,,,,0,2022-07-30-OTT-PHI,,
0,Ottawa Outlaws,,,,,0,2022-07-29-OTT-DC,,
1,DC Breeze,,,,,0,2022-07-29-OTT-DC,,
0,DC Breeze,,,,,0,2022-07-23-DC-BOS,,
1,Boston Glory,,,,,0,2022-07-23-DC-BOS,,
0,New York Empire,,,,,0,2022-07-22-NY-PHI,,
1,Philadelphia Phoenix,,,,,0,2022-07-22-NY-PHI,,
0,Philadelphia Phoenix,,,,,0,2022-07-16-PHI-TOR,,
1,Toronto Rush,,,,,0,2022-07-16-PHI-TOR,,
0,DC Breeze,,,,,0,2022-07-16-DC-OTT,,
1,Ottawa Outlaws,,,,,0,2022-07-16-DC-OTT,,
