,GAME_INFO,LOCATION,TEAM1_NAME,TEAM1_SCORE,TEAM2_NAME,TEAM2_SCORE
0,2016-04-09 19:00:00,, Minnesota Wind Chill,11, Madison Radicals,25
1,2016-04-09 18:00:00,, Pittsburgh Thunderbirds,25, Detroit Mechanix,16
2,2016-04-09 16:00:00,, Ottawa Outlaws,19, New York Empire,24
3,2016-04-08 22:30:00,, Seattle Cascades,25, San Jose Spiders,26
4,2016-04-08 20:00:00,, Indianapolis AlleyCats,22, Cincinnati Revolution,17
5,2016-04-03 17:30:00,, San Francisco FlameThrowers,19, LA Aviators,16
6,2016-04-02 20:00:00,, Austin Sol,18, Dallas Legion,30
7,2016-04-02 19:30:00,, Detroit Mechanix,15, Cincinnati Revolution,12
8,2016-04-02 19:00:00,, Charlotte Express,18, Raleigh Flyers,23
9,2016-04-02 19:00:00,, Nashville Nightwatch,16, Atlanta Hustle,26
0,2015-05-10 16:00:00,, San Diego Growlers,29, Vancouver Riptide,27
1,2015-05-09 22:30:00,, San Diego Growlers,21, Seattle Cascades,19
2,2015-05-09 21:00:00,, San Jose Spiders,20, San Francisco FlameThrowers,18
3,2015-05-09 20:30:00,, Indianapolis AlleyCats,22, Chicago Union,24
4,2015-05-09 19:00:00,, Minnesota Wind Chill,22, Pittsburgh Thunderbirds,28
5,2015-05-09 19:00:00,, New York Empire,25, Toronto Rush,28
6,2015-05-09 18:30:00,, DC Breeze,30, Philadelphia Phoenix,29
7,2015-05-09 18:00:00,, Raleigh Flyers,28, Atlanta Hustle,29
8,2015-05-09 18:00:00,, Charlotte Express,17, Jacksonville Cannons,26
9,2015-05-08 20:00:00,, Indianapolis AlleyCats,27, Cincinnati Revolution,23
0,2014-05-10 20:00:00,, San Francisco FlameThrowers,19, Salt Lake Lions,16
1,2014-05-10 20:00:00,, Philadelphia Phoenix,10, New York Empire,20
2,2014-05-10 20:00:00,, Toronto Rush,30, Rochester Dragons,18
3,2014-05-10 20:00:00,, Cincinnati Revolution,20, Detroit Mechanix,15
