,TEAM,Completions,Hucks,Offensive Holds,Defensive Breaks,Red Zone Possessions,Blocks,Turnovers,GAME_INFO
0,Chicago Union,92% (211/228),58% (7/12),63% (14/22),33% (6/18),85% (17/20),8,20,2021-07-24-CHI-MIN
0,Minnesota Wind Chill,92% (259/280),76% (10/13),45% (15/33),16% (1/6),64% (9/14),13,23,2021-07-24-CHI-MIN
0,Boston Glory,95% (244/256),54% (6/11),66% (20/30),46% (6/13),84% (16/19),11,17,2021-07-24-BOS-TB
0,Tampa Bay Cannons,92% (209/227),64% (9/14),58% (20/34),33% (3/9),91% (11/12),9,20,2021-07-24-BOS-TB
0,Indianapolis AlleyCats,87% (174/200),100% (6/6),44% (12/27),31% (7/22),80% (12/15),16,29,2021-07-24-IND-DET
0,Detroit Mechanix,89% (220/245),55% (5/9),32% (11/34),14% (2/14),61% (8/13),16,34,2021-07-24-IND-DET
0,Toronto Rush,92% (224/241),61% (8/13),63% (21/33),30% (3/10),84% (16/19),7,19,2021-07-24-TOR-OTT
0,Ottawa Outlaws,94% (223/237),100% (15/15),68% (22/32),50% (5/10),80% (12/15),7,15,2021-07-24-TOR-OTT
0,LA Aviators,94% (254/268),63% (7/11),60% (14/23),50% (7/14),88% (15/17),13,15,2021-07-23-LA-SEA
0,Seattle Cascades,94% (270/286),40% (4/10),46% (14/30),25% (2/8),81% (13/16),9,22,2021-07-23-LA-SEA
0,San Diego Growlers,89% (151/168),33% (4/12),42% (12/28),42% (3/7),85% (6/7),3,19,2021-07-23-SD-DAL
0,Dallas Legion,95% (306/321),41% (5/12),65% (13/20),40% (6/15),87% (14/16),11,16,2021-07-23-SD-DAL
0,Austin Sol,92% (267/290),50% (8/16),48% (14/29),33% (6/18),73% (14/19),17,27,2021-07-18-AUS-SD
0,San Diego Growlers,87% (156/179),100% (6/6),42% (14/33),50% (7/14),73% (14/19),10,25,2021-07-18-AUS-SD
0,Indianapolis AlleyCats,95% (297/311),41% (5/12),51% (15/29),50% (3/6),92% (13/14),4,17,2021-07-18-IND-CHI
0,Chicago Union,97% (284/291),62% (5/8),68% (15/22),75% (9/12),85% (18/21),8,9,2021-07-18-IND-CHI
0,Dallas Legion,97% (375/386),60% (6/10),73% (17/23),50% (6/12),90% (18/20),9,12,2021-07-17-DAL-SJ
0,San Jose Spiders,93% (151/162),85% (12/14),58% (17/29),50% (3/6),81% (9/11),3,15,2021-07-17-DAL-SJ
0,Atlanta Hustle,93% (169/181),87% (7/8),52% (9/17),50% (8/16),100% (10/10),11,15,2021-07-17-ATL-DC
0,DC Breeze,96% (419/436),28% (2/7),26% (7/26),71% (5/7),70% (7/10),10,20,2021-07-17-ATL-DC
0,Dallas Legion,93% (261/278),71% (10/14),56% (13/23),50% (8/16),76% (16/21),7,18,2021-06-25-DAL-LA
0,LA Aviators,92% (207/225),50% (4/8),41% (12/29),44% (4/9),64% (11/17),7,22,2021-06-25-DAL-LA
0,Tampa Bay Cannons,89% (196/219),45% (5/11),37% (13/35),44% (4/9),69% (9/13),13,27,2021-06-25-TB-BOS
0,Boston Glory,94% (256/272),45% (5/11),62% (15/24),47% (9/19),83% (20/24),18,19,2021-06-25-TB-BOS
0,Philadelphia Phoenix,91% (257/281),42% (3/7),23% (9/38),40% (2/5),40% (4/10),9,32,2021-06-25-PHI-RAL
0,Raleigh Flyers,93% (210/225),46% (6/13),64% (9/14),51% (14/27),76% (20/26),13,18,2021-06-25-PHI-RAL
0,Indianapolis AlleyCats,95% (296/310),45% (5/11),44% (12/27),43% (7/16),77% (7/9),12,24,2021-06-20-IND-MAD
0,Madison Radicals,93% (259/276),60% (6/10),43% (13/30),78% (11/14),81% (18/22),12,20,2021-06-20-IND-MAD
0,San Diego Growlers,92% (239/259),53% (7/13),48% (12/25),28% (6/21),60% (9/15),15,27,2021-06-20-SD-SEA
0,Seattle Cascades,91% (232/253),69% (9/13),34% (12/35),36% (4/11),69% (9/13),12,30,2021-06-20-SD-SEA
0,LA Aviators,91% (233/255),85% (12/14),50% (16/32),25% (4/16),42% (3/7),6,28,2021-06-19-LA-AUS
0,Austin Sol,94% (332/351),37% (3/8),48% (16/33),42% (6/14),60% (15/25),18,25,2021-06-19-LA-AUS
0,Pittsburgh Thunderbirds,89% (192/215),57% (8/14),41% (17/41),16% (1/6),75% (9/12),11,29,2021-06-19-PIT-PHI
0,Philadelphia Phoenix,94% (269/285),77% (14/18),72% (18/25),39% (9/23),73% (14/19),15,20,2021-06-19-PIT-PHI
0,Atlanta Hustle,92% (206/223),70% (12/17),57% (11/19),48% (13/27),75% (12/16),14,21,2021-06-19-ATL-TB
0,Tampa Bay Cannons,90% (255/282),50% (5/10),25% (10/39),42% (3/7),72% (8/11),6,33,2021-06-19-ATL-TB
0,Chicago Union,96% (266/276),50% (3/6),93% (14/15),59% (16/27),89% (26/29),18,11,2021-06-19-CHI-DET
0,Detroit Mechanix,90% (256/282),63% (7/11),30% (13/42),0% (0/1),57% (4/7),6,29,2021-06-19-CHI-DET
0,Boston Glory,93% (252/269),54% (6/11),56% (21/37),60% (3/5),82% (14/17),8,18,2021-06-19-BOS-RAL
0,Raleigh Flyers,94% (246/259),75% (9/12),76% (20/26),46% (7/15),94% (18/19),12,14,2021-06-19-BOS-RAL
0,Raleigh Flyers,97% (298/305),71% (5/7),78% (15/19),50% (4/8),92% (13/14),5,7,2021-09-11-RAL-NY
0,New York Empire,95% (260/271),40% (2/5),60% (15/25),50% (1/2),81% (13/16),4,11,2021-09-11-RAL-NY
0,Raleigh Flyers,96% (326/338),63% (7/11),58% (18/31),42% (3/7),70% (14/20),9,17,2021-09-10-RAL-CHI
0,Chicago Union,94% (265/279),36% (4/11),65% (17/26),27% (3/11),100% (12/12),12,17,2021-09-10-RAL-CHI
0,San Diego Growlers,94% (286/304),62% (5/8),54% (13/24),38% (5/13),93% (14/15),9,19,2021-09-10-SD-NY
0,New York Empire,95% (258/271),54% (6/11),51% (14/27),80% (8/10),89% (17/19),15,15,2021-09-10-SD-NY
0,Toronto Rush,94% (235/249),100% (7/7),63% (14/22),36% (4/11),86% (13/15),9,15,2021-09-09-TOR-MTL
0,Montreal Royal,96% (218/226),64% (9/14),55% (15/27),80% (4/5),82% (14/17),7,13,2021-09-09-TOR-MTL
0,Atlanta Hustle,96% (246/256),76% (10/13),57% (16/28),71% (5/7),66% (6/9),4,12,2021-09-04-ATL-NY
0,New York Empire,95% (300/313),57% (4/7),70% (17/24),45% (5/11),75% (18/24),8,13,2021-09-04-ATL-NY
0,Toronto Rush,94% (201/213),100% (16/16),58% (17/29),70% (7/10),77% (7/9),9,14,2021-09-04-TOR-OTT
0,Ottawa Outlaws,94% (230/244),70% (14/20),62% (17/27),45% (5/11),80% (8/10),8,16,2021-09-04-TOR-OTT
0,Raleigh Flyers,96% (256/265),66% (8/12),61% (13/21),75% (6/8),85% (12/14),12,10,2021-09-03-RAL-DC
0,DC Breeze,94% (264/278),53% (7/13),56% (13/23),37% (3/8),72% (8/11),4,15,2021-09-03-RAL-DC
0,Minnesota Wind Chill,94% (281/297),71% (10/14),51% (15/29),50% (4/8),81% (13/16),11,18,2021-08-29-MIN-CHI
0,Chicago Union,95% (239/251),77% (7/9),64% (16/25),45% (5/11),87% (14/16),10,15,2021-08-29-MIN-CHI
0,Montreal Royal,92% (198/213),71% (10/14),56% (17/30),50% (8/16),84% (16/19),13,20,2021-08-29-MTL-TOR
0,Toronto Rush,89% (169/189),100% (8/8),50% (17/34),8% (1/12),75% (9/12),13,28,2021-08-29-MTL-TOR
0,DC Breeze,95% (254/267),60% (9/15),80% (16/20),52% (12/23),88% (16/18),19,15,2021-08-29-DC-TB
0,Tampa Bay Cannons,90% (254/282),50% (8/16),35% (15/42),25% (1/4),76% (10/13),10,30,2021-08-29-DC-TB
0,San Jose Spiders,92% (249/268),100% (5/5),50% (14/28),40% (6/15),78% (15/19),4,23,2021-08-21-SJ-LA
0,LA Aviators,93% (242/260),50% (5/10),46% (14/30),53% (7/13),65% (13/20),13,22,2021-08-21-SJ-LA
0,San Jose Spiders,93% (233/248),87% (14/16),57% (15/26),54% (6/11),73% (14/19),8,16,2021-08-20-SJ-SD
0,San Diego Growlers,96% (278/289),100% (6/6),51% (14/27),90% (10/11),89% (17/19),7,14,2021-08-20-SJ-SD
0,Boston Glory,95% (205/215),66% (6/9),67% (19/28),40% (2/5),86% (13/15),6,12,2021-08-20-BOS-NY
0,New York Empire,97% (291/299),76% (10/13),72% (18/25),87% (7/8),88% (16/18),10,8,2021-08-20-BOS-NY
0,Minnesota Wind Chill,95% (313/327),50% (4/8),65% (15/23),50% (8/16),100% (16/16),12,16,2021-08-15-MIN-IND
0,Indianapolis AlleyCats,92% (219/237),66% (8/12),45% (15/33),57% (4/7),62% (10/16),11,21,2021-08-15-MIN-IND
0,Ottawa Outlaws,92% (188/204),70% (12/17),51% (16/31),45% (5/11),100% (7/7),10,21,2021-08-15-OTT-TOR
0,Toronto Rush,93% (201/215),88% (8/9),55% (15/27),53% (8/15),82% (14/17),10,19,2021-08-15-OTT-TOR
0,San Diego Growlers,95% (259/272),62% (5/8),53% (15/28),42% (6/14),69% (9/13),18,21,2021-08-14-SD-LA
0,LA Aviators,91% (225/246),44% (4/9),46% (14/30),25% (3/12),85% (12/14),4,25,2021-08-14-SD-LA
0,Pittsburgh Thunderbirds,93% (256/275),33% (2/6),44% (13/29),42% (3/7),70% (12/17),10,20,2021-08-14-PIT-NY
0,New York Empire,93% (197/211),90% (9/10),65% (13/20),43% (7/16),65% (13/20),11,15,2021-08-14-PIT-NY
0,Montreal Royal,94% (226/240),71% (10/14),55% (15/27),36% (4/11),90% (10/11),8,18,2021-08-14-MTL-TOR
0,Toronto Rush,92% (179/194),100% (9/9),50% (14/28),45% (5/11),75% (12/16),9,20,2021-08-14-MTL-TOR
0,Minnesota Wind Chill,95% (240/252),58% (7/12),75% (15/20),56% (9/16),87% (14/16),7,12,2021-08-14-MIN-DET
