,score,line,time_left,point_time,players,quarter
0,1-0,O-Line,09:26,2m34s,"Avery Johnson, Luo, Marty, Paust, Power, Pruess, Schewe",q1
1,1-1,D-Line,05:53,3m33s,"Garlock, Knoche, Marks, Meshnick, Pettit-Scantling, Wilen, Wilson",q1
2,2-1,O-Line,05:28,25s,"Goldenberg, Kelly, Luo, Marty, Paust, Power, Schewe",q1
3,2-2,D-Line,04:56,32s,"Annen, McCosky, McDonald, Meshnick, Pettit-Scantling, Sykora, Wilson",q1
4,2-3,O-Line,02:43,2m13s,"Avery Johnson, Goldenberg, Kelly, Luo, Paust, Pruess, Schewe",q1
5,3-3,O-Line,02:05,38s,"Annen, Garlock, Knoche, Meshnick, Pettit-Scantling, Wilen, Wilson",q1
6,3-4,D-Line,00:37,1m28s,"Knoche, McCosky, McDonald, Meshnick, Pettit-Scantling, Sykora, Wilson",q1
7,4-4,O-Line,00:00,37s,"Avery Johnson, Goldenberg, Kelly, Marty, Paust, Power, Pruess",q1
0,4-5,D-Line,09:02,2m58s,"Annen, Knoche, McCosky, Meshnick, Pettit-Scantling, Wilen, Wilson",q2
1,5-5,O-Line,07:58,1m4s,"Avery Johnson, Kelly, Luo, Marty, Paust, Power, Pruess",q2
2,5-6,D-Line,07:26,32s,"Garlock, Knoche, Marks, McCosky, Meshnick, Pettit-Scantling, Wilson",q2
3,5-7,O-Line,04:18,3m8s,"Avery Johnson, Goldenberg, Luo, Marty, Paust, Power, Wilen",q2
4,6-7,O-Line,03:20,58s,"Goldenberg, Kelly, Luo, Marty, Paust, Pruess, Wilen",q2
5,6-8,D-Line,00:43,2m37s,"Garlock, Knoche, Marks, McCosky, Meshnick, Pettit-Scantling, Wilson",q2
6,6-8,O-Line,00:00,43s,"Avery Johnson, Goldenberg, Marty, Paust, Power, Pruess, Wilen",q2
0,7-8,O-Line,11:35,25s,"Avery Johnson, Kelly, Luo, Paust, Power, Pruess, Schewe",q3
1,8-8,D-Line,11:20,15s,"Garlock, Knoche, Marks, Meshnick, Pettit-Scantling, Wilen, Wilson",q3
2,9-8,D-Line,08:40,2m40s,"Annen, Marks, McCosky, McDonald, Meshnick, Pettit-Scantling, Sykora",q3
3,9-9,D-Line,07:26,1m14s,"Garlock, Knoche, Marks, Meshnick, Pettit-Scantling, Wilen, Wilson",q3
4,10-9,O-Line,05:21,2m5s,"Avery Johnson, Kelly, Luo, Marty, Paust, Power, Pruess",q3
5,10-10,D-Line,03:57,1m24s,"Annen, Marks, Marty, McCosky, McDonald, Sykora, Wilen",q3
6,11-10,O-Line,03:02,55s,"Avery Johnson, Goldenberg, Kelly, Luo, Paust, Pruess, Schewe",q3
7,12-10,D-Line,01:53,1m9s,"Garlock, Knoche, Marks, Meshnick, Pettit-Scantling, Wilen, Wilson",q3
8,12-11,D-Line,01:13,40s,"Annen, Garlock, Knoche, McCosky, McDonald, Meshnick, Sykora",q3
9,13-11,O-Line,00:23,50s,"Kelly, Luo, Marty, Paust, Power, Pruess, Schewe",q3
10,13-11,D-Line,00:00,23s,"Garlock, Knoche, McCosky, Meshnick, Pettit-Scantling, Wilen, Wilson",q3
0,13-12,D-Line,11:25,35s,"Garlock, Knoche, Marks, Meshnick, Pettit-Scantling, Wilen, Wilson",q4
1,13-13,O-Line,10:08,1m17s,"Avery Johnson, Goldenberg, Kelly, Luo, Paust, Power, Schewe",q4
2,13-14,O-Line,09:30,38s,"Annen, Garlock, Knoche, Meshnick, Pettit-Scantling, Wilen, Wilson",q4
3,14-14,O-Line,08:45,45s,"Avery Johnson, Kelly, Luo, Paust, Power, Pruess, Schewe",q4
4,15-14,D-Line,07:36,1m9s,"Annen, Marty, McCosky, McDonald, Meshnick, Pettit-Scantling, Wilen",q4
5,15-15,D-Line,04:10,3m26s,"Garlock, Knoche, Marks, Marty, Pettit-Scantling, Pruess, Wilson",q4
6,16-15,O-Line,03:33,37s,"Annen, Garlock, Knoche, Meshnick, Pettit-Scantling, Wilen, Wilson",q4
7,16-16,D-Line,02:28,1m5s,"Garlock, Knoche, Marty, Meshnick, Pruess, Wilen, Wilson",q4
8,17-16,O-Line,01:39,49s,"Avery Johnson, Kelly, Marty, Paust, Power, Schewe, Wilen",q4
9,17-17,D-Line,00:00,1m39s,"Garlock, Knoche, McCosky, Meshnick, Pettit-Scantling, Pruess, Wilson",q4
0,17-18,O-Line,01:33,3m27s,"Annen, Garlock, Knoche, Meshnick, Pettit-Scantling, Wilen, Wilson",q5
1,17-19,O-Line,00:24,1m9s,"Avery Johnson, Kelly, Marty, Paust, Power, Pruess, Wilen",q5
2,18-19,O-Line,00:14,10s,"Annen, Garlock, Knoche, Meshnick, Pettit-Scantling, Wilen, Wilson",q5
3,18-20,D-Line,00:10,4s,"Garlock, Knoche, Meshnick, Pettit-Scantling, Pruess, Wilen, Wilson",q5
4,18-20,O-Line,00:00,10s,"Avery Johnson, Kelly, Knoche, Marty, Paust, Power, Schewe",q5
0,1-0,O-Line,09:26,2m34s,"Avery Johnson, Luo, Marty, Paust, Power, Pruess, Schewe",q1
1,1-1,D-Line,05:53,3m33s,"Garlock, Knoche, Marks, Meshnick, Pettit-Scantling, Wilen, Wilson",q1
2,2-1,O-Line,05:28,25s,"Goldenberg, Kelly, Luo, Marty, Paust, Power, Schewe",q1
3,2-2,D-Line,04:56,32s,"Annen, McCosky, McDonald, Meshnick, Pettit-Scantling, Sykora, Wilson",q1
4,2-3,O-Line,02:43,2m13s,"Avery Johnson, Goldenberg, Kelly, Luo, Paust, Pruess, Schewe",q1
5,3-3,O-Line,02:05,38s,"Annen, Garlock, Knoche, Meshnick, Pettit-Scantling, Wilen, Wilson",q1
6,3-4,D-Line,00:37,1m28s,"Knoche, McCosky, McDonald, Meshnick, Pettit-Scantling, Sykora, Wilson",q1
7,4-4,O-Line,00:00,37s,"Avery Johnson, Goldenberg, Kelly, Marty, Paust, Power, Pruess",q1
0,4-5,D-Line,09:02,2m58s,"Annen, Knoche, McCosky, Meshnick, Pettit-Scantling, Wilen, Wilson",q2
1,5-5,O-Line,07:58,1m4s,"Avery Johnson, Kelly, Luo, Marty, Paust, Power, Pruess",q2
2,5-6,D-Line,07:26,32s,"Garlock, Knoche, Marks, McCosky, Meshnick, Pettit-Scantling, Wilson",q2
3,5-7,O-Line,04:18,3m8s,"Avery Johnson, Goldenberg, Luo, Marty, Paust, Power, Wilen",q2
4,6-7,O-Line,03:20,58s,"Goldenberg, Kelly, Luo, Marty, Paust, Pruess, Wilen",q2
5,6-8,D-Line,00:43,2m37s,"Garlock, Knoche, Marks, McCosky, Meshnick, Pettit-Scantling, Wilson",q2
6,6-8,O-Line,00:00,43s,"Avery Johnson, Goldenberg, Marty, Paust, Power, Pruess, Wilen",q2
0,7-8,O-Line,11:35,25s,"Avery Johnson, Kelly, Luo, Paust, Power, Pruess, Schewe",q3
1,8-8,D-Line,11:20,15s,"Garlock, Knoche, Marks, Meshnick, Pettit-Scantling, Wilen, Wilson",q3
2,9-8,D-Line,08:40,2m40s,"Annen, Marks, McCosky, McDonald, Meshnick, Pettit-Scantling, Sykora",q3
3,9-9,D-Line,07:26,1m14s,"Garlock, Knoche, Marks, Meshnick, Pettit-Scantling, Wilen, Wilson",q3
4,10-9,O-Line,05:21,2m5s,"Avery Johnson, Kelly, Luo, Marty, Paust, Power, Pruess",q3
5,10-10,D-Line,03:57,1m24s,"Annen, Marks, Marty, McCosky, McDonald, Sykora, Wilen",q3
6,11-10,O-Line,03:02,55s,"Avery Johnson, Goldenberg, Kelly, Luo, Paust, Pruess, Schewe",q3
7,12-10,D-Line,01:53,1m9s,"Garlock, Knoche, Marks, Meshnick, Pettit-Scantling, Wilen, Wilson",q3
8,12-11,D-Line,01:13,40s,"Annen, Garlock, Knoche, McCosky, McDonald, Meshnick, Sykora",q3
9,13-11,O-Line,00:23,50s,"Kelly, Luo, Marty, Paust, Power, Pruess, Schewe",q3
10,13-11,D-Line,00:00,23s,"Garlock, Knoche, McCosky, Meshnick, Pettit-Scantling, Wilen, Wilson",q3
0,13-12,D-Line,11:25,35s,"Garlock, Knoche, Marks, Meshnick, Pettit-Scantling, Wilen, Wilson",q4
1,13-13,O-Line,10:08,1m17s,"Avery Johnson, Goldenberg, Kelly, Luo, Paust, Power, Schewe",q4
2,13-14,O-Line,09:30,38s,"Annen, Garlock, Knoche, Meshnick, Pettit-Scantling, Wilen, Wilson",q4
3,14-14,O-Line,08:45,45s,"Avery Johnson, Kelly, Luo, Paust, Power, Pruess, Schewe",q4
4,15-14,D-Line,07:36,1m9s,"Annen, Marty, McCosky, McDonald, Meshnick, Pettit-Scantling, Wilen",q4
5,15-15,D-Line,04:10,3m26s,"Garlock, Knoche, Marks, Marty, Pettit-Scantling, Pruess, Wilson",q4
6,16-15,O-Line,03:33,37s,"Annen, Garlock, Knoche, Meshnick, Pettit-Scantling, Wilen, Wilson",q4
7,16-16,D-Line,02:28,1m5s,"Garlock, Knoche, Marty, Meshnick, Pruess, Wilen, Wilson",q4
8,17-16,O-Line,01:39,49s,"Avery Johnson, Kelly, Marty, Paust, Power, Schewe, Wilen",q4
9,17-17,D-Line,00:00,1m39s,"Garlock, Knoche, McCosky, Meshnick, Pettit-Scantling, Pruess, Wilson",q4
0,17-18,O-Line,01:33,3m27s,"Annen, Garlock, Knoche, Meshnick, Pettit-Scantling, Wilen, Wilson",q5
1,17-19,O-Line,00:24,1m9s,"Avery Johnson, Kelly, Marty, Paust, Power, Pruess, Wilen",q5
2,18-19,O-Line,00:14,10s,"Annen, Garlock, Knoche, Meshnick, Pettit-Scantling, Wilen, Wilson",q5
3,18-20,D-Line,00:10,4s,"Garlock, Knoche, Meshnick, Pettit-Scantling, Pruess, Wilen, Wilson",q5
4,18-20,O-Line,00:00,10s,"Avery Johnson, Kelly, Knoche, Marty, Paust, Power, Schewe",q5
0,0-1,D-Line,11:24,36s,"Butrica, DiGiorgio, Ellis, Michel, Nardelli, Pollard, Witmer",q1
1,1-1,O-Line,09:59,1m25s,"Charles, Damiano, Heyman, Martin, Mott, Sands, Thorne",q1
2,1-2,D-Line,08:53,1m6s,"Arcata, Butrica, Little, Masino, Owens, Pastor, Witmer",q1
3,1-3,O-Line,07:24,1m29s,"Boyle, Charles, Damiano, Heyman, Martin, Mott, Sands",q1
4,2-3,O-Line,06:52,32s,"Arcata, Butrica, Mott, Nardelli, Owens, Pastor, Witmer",q1
5,2-4,D-Line,06:13,39s,"Butrica, DiGiorgio, Ellis, Masino, Michel, Nardelli, Pollard",q1
6,2-5,O-Line,05:44,29s,"Boyle, Charles, Heyman, Martin, Mott, Sands, Thorne",q1
7,3-5,O-Line,05:06,38s,"Arcata, Damiano, Mott, Nardelli, Owens, Pastor, Witmer",q1
8,4-5,D-Line,00:43,4m23s,"Butrica, DiGiorgio, Ellis, Little, Masino, Michel, Pollard",q1
9,4-6,D-Line,00:05,38s,"Butrica, DiGiorgio, Little, Martin, Masino, Michel, Pastor",q1
10,4-6,O-Line,00:00,5s,"Arcata, Martin, Masino, Mott, Owens, Pollard, Sands",q1
0,5-6,O-Line,11:33,27s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q2
1,5-7,D-Line,07:07,4m26s,"Butrica, DiGiorgio, Ellis, Michel, Nardelli, Pastor, Witmer",q2
2,6-7,O-Line,06:37,30s,"DiGiorgio, Mott, Nardelli, Owens, Pastor, Thorne, Witmer",q2
3,6-8,D-Line,04:07,2m30s,"Butrica, Little, Masino, Michel, Owens, Pastor, Witmer",q2
4,7-8,O-Line,01:35,2m32s,"Arcata, Butrica, Nardelli, Owens, Pastor, Thorne, Witmer",q2
5,7-9,D-Line,01:12,23s,"DiGiorgio, Ellis, Heyman, Little, Masino, Michel, Mott",q2
6,8-9,O-Line,00:30,42s,"Charles, Damiano, Heyman, Mott, Pastor, Sands, Thorne",q2
7,8-9,D-Line,00:00,30s,"Arcata, Little, Martin, Masino, Nardelli, Owens, Pollard",q2
0,9-9,D-Line,10:01,1m59s,"Arcata, Butrica, DiGiorgio, Little, Michel, Nardelli, Witmer",q3
1,10-9,D-Line,09:08,53s,"DiGiorgio, Masino, Mott, Owens, Pastor, Pollard, Sands",q3
2,11-9,D-Line,07:51,1m17s,"Arcata, Masino, Michel, Nardelli, Owens, Sands, Witmer",q3
3,11-10,D-Line,07:01,50s,"DiGiorgio, Little, Martin, Mott, Owens, Pollard, Witmer",q3
4,12-10,O-Line,06:35,26s,"Charles, Damiano, Heyman, Martin, Mott, Sands, Thorne",q3
5,13-10,D-Line,04:37,1m58s,"DiGiorgio, Ellis, Little, Masino, Nardelli, Pastor, Witmer",q3
6,14-10,D-Line,03:50,47s,"Arcata, Butrica, Michel, Mott, Nardelli, Owens, Pollard",q3
7,14-11,D-Line,03:10,40s,"Arcata, DiGiorgio, Little, Masino, Pastor, Sands, Witmer",q3
8,15-11,O-Line,02:30,40s,"Boyle, Charles, Damiano, Heyman, Martin, Mott, Sands",q3
9,15-12,D-Line,01:23,1m7s,"Butrica, DiGiorgio, Masino, Michel, Nardelli, Pollard, Witmer",q3
10,16-12,O-Line,00:15,1m8s,"Boyle, Charles, Heyman, Martin, Mott, Sands, Thorne",q3
11,16-12,D-Line,00:00,15s,"Arcata, Little, Martin, Masino, Mott, Nardelli, Pollard",q3
0,17-12,O-Line,09:46,2m14s,"Charles, Damiano, Heyman, Martin, Mott, Sands, Thorne",q4
1,18-12,D-Line,09:21,25s,"Arcata, DiGiorgio, Little, Masino, Michel, Pastor, Witmer",q4
2,18-13,D-Line,08:48,33s,"Arcata, DiGiorgio, Masino, Nardelli, Owens, Pastor, Witmer",q4
3,18-14,O-Line,07:32,1m16s,"Boyle, Charles, Damiano, Heyman, Martin, Mott, Sands",q4
4,18-15,O-Line,06:33,59s,"Butrica, Masino, Nardelli, Owens, Pastor, Thorne, Witmer",q4
5,19-15,O-Line,05:44,49s,"Arcata, Charles, Damiano, Heyman, Mott, Sands, Thorne",q4
6,20-15,D-Line,05:08,36s,"DiGiorgio, Ellis, Little, Masino, Nardelli, Pastor, Witmer",q4
7,21-15,D-Line,03:01,2m7s,"DiGiorgio, Martin, Mott, Owens, Pastor, Sands, Thorne",q4
8,21-16,D-Line,00:56,2m5s,"Damiano, DiGiorgio, Ellis, Little, Masino, Owens, Witmer",q4
9,21-16,O-Line,00:00,56s,"Boyle, Heyman, Mott, Nardelli, Pastor, Sands, Thorne",q4
0,0-1,D-Line,11:24,36s,"Butrica, DiGiorgio, Ellis, Michel, Nardelli, Pollard, Witmer",q1
1,1-1,O-Line,09:59,1m25s,"Charles, Damiano, Heyman, Martin, Mott, Sands, Thorne",q1
2,1-2,D-Line,08:53,1m6s,"Arcata, Butrica, Little, Masino, Owens, Pastor, Witmer",q1
3,1-3,O-Line,07:24,1m29s,"Boyle, Charles, Damiano, Heyman, Martin, Mott, Sands",q1
4,2-3,O-Line,06:52,32s,"Arcata, Butrica, Mott, Nardelli, Owens, Pastor, Witmer",q1
5,2-4,D-Line,06:13,39s,"Butrica, DiGiorgio, Ellis, Masino, Michel, Nardelli, Pollard",q1
6,2-5,O-Line,05:44,29s,"Boyle, Charles, Heyman, Martin, Mott, Sands, Thorne",q1
7,3-5,O-Line,05:06,38s,"Arcata, Damiano, Mott, Nardelli, Owens, Pastor, Witmer",q1
8,4-5,D-Line,00:43,4m23s,"Butrica, DiGiorgio, Ellis, Little, Masino, Michel, Pollard",q1
9,4-6,D-Line,00:05,38s,"Butrica, DiGiorgio, Little, Martin, Masino, Michel, Pastor",q1
10,4-6,O-Line,00:00,5s,"Arcata, Martin, Masino, Mott, Owens, Pollard, Sands",q1
0,5-6,O-Line,11:33,27s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q2
1,5-7,D-Line,07:07,4m26s,"Butrica, DiGiorgio, Ellis, Michel, Nardelli, Pastor, Witmer",q2
2,6-7,O-Line,06:37,30s,"DiGiorgio, Mott, Nardelli, Owens, Pastor, Thorne, Witmer",q2
3,6-8,D-Line,04:07,2m30s,"Butrica, Little, Masino, Michel, Owens, Pastor, Witmer",q2
4,7-8,O-Line,01:35,2m32s,"Arcata, Butrica, Nardelli, Owens, Pastor, Thorne, Witmer",q2
5,7-9,D-Line,01:12,23s,"DiGiorgio, Ellis, Heyman, Little, Masino, Michel, Mott",q2
6,8-9,O-Line,00:30,42s,"Charles, Damiano, Heyman, Mott, Pastor, Sands, Thorne",q2
7,8-9,D-Line,00:00,30s,"Arcata, Little, Martin, Masino, Nardelli, Owens, Pollard",q2
0,9-9,D-Line,10:01,1m59s,"Arcata, Butrica, DiGiorgio, Little, Michel, Nardelli, Witmer",q3
1,10-9,D-Line,09:08,53s,"DiGiorgio, Masino, Mott, Owens, Pastor, Pollard, Sands",q3
2,11-9,D-Line,07:51,1m17s,"Arcata, Masino, Michel, Nardelli, Owens, Sands, Witmer",q3
3,11-10,D-Line,07:01,50s,"DiGiorgio, Little, Martin, Mott, Owens, Pollard, Witmer",q3
4,12-10,O-Line,06:35,26s,"Charles, Damiano, Heyman, Martin, Mott, Sands, Thorne",q3
5,13-10,D-Line,04:37,1m58s,"DiGiorgio, Ellis, Little, Masino, Nardelli, Pastor, Witmer",q3
6,14-10,D-Line,03:50,47s,"Arcata, Butrica, Michel, Mott, Nardelli, Owens, Pollard",q3
7,14-11,D-Line,03:10,40s,"Arcata, DiGiorgio, Little, Masino, Pastor, Sands, Witmer",q3
8,15-11,O-Line,02:30,40s,"Boyle, Charles, Damiano, Heyman, Martin, Mott, Sands",q3
9,15-12,D-Line,01:23,1m7s,"Butrica, DiGiorgio, Masino, Michel, Nardelli, Pollard, Witmer",q3
10,16-12,O-Line,00:15,1m8s,"Boyle, Charles, Heyman, Martin, Mott, Sands, Thorne",q3
11,16-12,D-Line,00:00,15s,"Arcata, Little, Martin, Masino, Mott, Nardelli, Pollard",q3
0,17-12,O-Line,09:46,2m14s,"Charles, Damiano, Heyman, Martin, Mott, Sands, Thorne",q4
1,18-12,D-Line,09:21,25s,"Arcata, DiGiorgio, Little, Masino, Michel, Pastor, Witmer",q4
2,18-13,D-Line,08:48,33s,"Arcata, DiGiorgio, Masino, Nardelli, Owens, Pastor, Witmer",q4
3,18-14,O-Line,07:32,1m16s,"Boyle, Charles, Damiano, Heyman, Martin, Mott, Sands",q4
4,18-15,O-Line,06:33,59s,"Butrica, Masino, Nardelli, Owens, Pastor, Thorne, Witmer",q4
5,19-15,O-Line,05:44,49s,"Arcata, Charles, Damiano, Heyman, Mott, Sands, Thorne",q4
6,20-15,D-Line,05:08,36s,"DiGiorgio, Ellis, Little, Masino, Nardelli, Pastor, Witmer",q4
7,21-15,D-Line,03:01,2m7s,"DiGiorgio, Martin, Mott, Owens, Pastor, Sands, Thorne",q4
8,21-16,D-Line,00:56,2m5s,"Damiano, DiGiorgio, Ellis, Little, Masino, Owens, Witmer",q4
