pull_type,time,pull_x,pull_y,thrower_id
PULL_INBOUNDS,8077.0,-7.07,72.66,cberry
PULL_INBOUNDS,6765.0,-0.82,78.95,nhutton
PULL_INBOUNDS,5159.0,-22.15,88.54,bmatis
PULL_INBOUNDS,6609.0,7.29,91.7,nhutton
PULL_INBOUNDS,6523.0,-17.87,96.61,nhutton
PULL_OUT_OF_BOUNDS,,0.0,80.0,bmatis
PULL_INBOUNDS,5787.0,-3.76,93.61,nhutton
PULL_INBOUNDS,6488.0,14.32,93.27,xpayne
PULL_INBOUNDS,7441.0,-3.5,85.77,bmatis
PULL_INBOUNDS,4497.0,3.88,72.27,nhutton
PULL_INBOUNDS,6861.0,-1.03,83.59,bmatis
PULL_INBOUNDS,9658.0,-26.67,52.7,xpayne
PULL_INBOUNDS,10404.0,26.66,71.21,
PULL_INBOUNDS,6323.0,18.06,94.51,wbrandt
PULL_INBOUNDS,10862.0,-26.67,60.2,nhutton
PULL_INBOUNDS,10165.0,-26.67,55.63,aroy
PULL_OUT_OF_BOUNDS,,0.0,58.63,ccurran
PULL_INBOUNDS,9357.0,-26.67,55.63,bmatis
PULL_INBOUNDS,11106.0,-26.67,61.97,nhutton
PULL_INBOUNDS,8401.0,11.36,73.98,bmatis
PULL_INBOUNDS,7327.0,-11.33,80.18,ccurran
PULL_INBOUNDS,17437.0,-26.67,58.1,bmatis
PULL_INBOUNDS,13147.0,0.0,65.25,nhutton
PULL_INBOUNDS,5793.0,4.29,81.91,tthomegre
PULL_INBOUNDS,7882.0,0.51,100.12,bmatis
PULL_OUT_OF_BOUNDS,,0.0,80.0,nhutton
PULL_INBOUNDS,8510.0,26.66,80.38,xpayne
PULL_INBOUNDS,8521.0,5.68,71.86,tthomegre
PULL_INBOUNDS,7139.0,0.87,80.02,tthomegre
PULL_INBOUNDS,7854.0,-10.35,95.53,bmatis
PULL_INBOUNDS,5871.0,-7.66,77.54,tthomegre
PULL_INBOUNDS,6935.0,11.73,70.43,nhutton
PULL_INBOUNDS,12804.0,0.87,63.42,tthomegre
PULL_INBOUNDS,5833.0,5.46,93.27,bmatis
PULL_INBOUNDS,5861.0,0.61,94.5,jfella
PULL_INBOUNDS,6920.0,6.61,81.0,nhutton
PULL_INBOUNDS,9243.0,-1.98,96.95,xpayne
PULL_OUT_OF_BOUNDS,,0.0,58.39,bmatis
PULL_OUT_OF_BOUNDS,,0.0,80.0,nhutton
PULL_INBOUNDS,5576.0,-12.39,88.54,tthomegre
PULL_INBOUNDS,6866.0,-7.87,85.33,tthomegre
PULL_INBOUNDS,7388.0,-26.67,59.45,ccurran
PULL_INBOUNDS,6315.0,-6.05,81.18,tthomegre
PULL_INBOUNDS,5196.0,15.51,88.25,bmatis
PULL_INBOUNDS,8844.0,3.57,63.56,tthomegre
