,TEAM,G,W_x,L,S,SA,C,T,CMP %,H,HUCK %,HLD %,OLC %,B,BRK %,DLC %,RZC %,YEAR,W_y,OPP C,OPP T,OPP CMP %,OPP H,OPP HUCK %,OPP HLD %,OPP OLC %,OPP B,OPP BRK %,OPP DLC %,OPP RZC %
0,Radicals,125,99,26,2925,2232,31.2k,2566,92.60,64,56.64,70.25,53.04,1856,38.51,48.88,77.78,CAREER,99,36.7k,3104,92.35,72,58.06,52.59,38.87,1265,20.85,36.74,77.36
1,Rush,122,97,25,3111,2392,28.6k,2709,91.64,80,84.21,69.39,51.76,1837,36.90,48.25,81.43,CAREER,97,27.1k,3440,89.06,96,69.57,55.26,40.80,1238,22.80,37.90,83.87
2,Empire,126,85,41,2744,2418,30.3k,2900,91.51,95,62.91,66.44,49.95,1683,32.41,45.68,79.64,CAREER,85,31.4k,3059,91.43,92,57.50,58.57,43.77,1419,24.98,40.93,78.97
3,AlleyCats,132,70,62,2997,2829,27.6k,2584,91.63,92,62.16,66.88,50.11,1439,28.74,42.22,75.66,CAREER,70,30.2k,2769,91.80,62,51.24,62.25,46.32,1350,25.24,40.79,84.58
4,Breeze,118,68,49,2638,2509,29.9k,2705,92.07,86,58.50,65.66,48.86,1486,31.71,47.41,82.59,CAREER,68,29k,2872,91.20,80,54.05,59.60,45.20,1363,26.29,41.11,82.14
5,Flyers,90,66,24,2191,1904,23.1k,1759,92.93,106,59.55,70.26,54.40,1106,31.20,49.43,83.97,CAREER,66,23.5k,2112,91.74,86,54.78,60.73,47.37,873,22.20,40.02,79.43
6,Legion,79,63,16,1920,1593,20.7k,1733,92.29,89,57.42,72.18,54.54,1101,31.70,43.33,77.06,CAREER,63,16.9k,2032,89.24,88,59.46,59.77,43.63,823,20.06,36.20,74.38
7,Wind Chill,114,62,51,2566,2437,30.4k,2786,91.88,86,62.77,64.59,46.52,1770,31.28,43.56,79.67,CAREER,62,27.1k,2970,90.33,82,58.16,60.06,43.81,1492,27.35,39.06,73.60
8,Union,116,61,54,2473,2250,30.5k,2617,92.26,82,61.19,64.53,47.35,1387,30.49,42.45,87.35,CAREER,61,26.9k,2785,90.76,85,59.86,61.17,43.95,1348,25.78,38.89,73.04
9,Spiders,101,55,46,2411,2334,25.9k,2301,91.83,95,62.50,66.56,51.03,1148,27.72,43.83,76.14,CAREER,55,26k,2385,91.60,74,52.11,64.87,49.09,1223,25.39,42.31,77.78
10,Aviators,86,50,36,1967,1899,22.4k,1844,92.40,73,60.83,65.14,50.47,1000,28.96,46.47,70.39,CAREER,50,21.5k,1934,91.74,71,56.80,63.03,48.49,957,26.77,45.03,73.21
11,FlameThrowers,76,48,28,1879,1724,19.1k,1940,90.76,--,--,67.34,49.24,989,30.25,42.77,--,CAREER,48,19.2k,2095,90.15,--,--,61.39,45.07,1009,25.32,38.68,--
12,Thunderbirds,88,48,40,2024,1928,22.1k,2100,91.34,79,56.43,65.34,48.71,1106,29.60,44.80,81.44,CAREER,48,21.9k,2116,91.20,125,68.31,62.85,46.97,1119,27.21,42.18,79.50
13,Royal,93,47,46,2003,2083,21.5k,2384,90,86,64.66,61.56,44.41,1186,27.82,41.41,80.56,CAREER,47,22.4k,2341,90.55,75,79.79,63.86,46.92,1256,30.26,41.46,82.54
14,Growlers,85,45,40,1898,1911,22.6k,1785,92.68,84,64.12,64.61,50.47,965,26.84,45.86,81.46,CAREER,45,22.3k,1766,92.67,90,55.56,65.05,51.16,914,27.22,46.02,75.57
15,Hustle,83,44,39,1911,1849,20.1k,1623,92.52,111,72.55,68.22,53.88,923,25.80,44.11,76.05,CAREER,44,23.8k,1733,93.22,86,57.72,66,51.40,812,24.01,44.72,81.35
