thrower,origin_x,origin_y,receiver,destination_x,destination_y,blocker,throwaway,callahan,drop,block,goal,score,time_left,motion,home_players,away_players,home_score,away_score,game_id,quarter_id
tcarpente,0.0,47.11,ljacobs,-2.66,61.56,,False,False,False,False,False,0-0,720,pull,"['rgross', 'cbrock', 'ljacobs', 'lconiaris', 'kromard', 'xpayne', 'tcarpente']","['bbergmeie', 'cmccutche', 'cberry', 'aroy', 'jkittlese', 'bmatzuka', 'ddeclerck']",0,0,2021-08-15-MIN-IND,Q1
ljacobs,-2.66,61.56,kromard,-16.78,66.2,,False,False,False,False,False,0-0,720,motion,"['rgross', 'cbrock', 'ljacobs', 'lconiaris', 'kromard', 'xpayne', 'tcarpente']","['bbergmeie', 'cmccutche', 'cberry', 'aroy', 'jkittlese', 'bmatzuka', 'ddeclerck']",0,0,2021-08-15-MIN-IND,Q1
kromard,-16.78,66.2,xpayne,-17.12,61.49,,False,False,False,False,False,0-0,720,motion,"['rgross', 'cbrock', 'ljacobs', 'lconiaris', 'kromard', 'xpayne', 'tcarpente']","['bbergmeie', 'cmccutche', 'cberry', 'aroy', 'jkittlese', 'bmatzuka', 'ddeclerck']",0,0,2021-08-15-MIN-IND,Q1
xpayne,-17.12,61.49,kromard,-8.05,55.09,,False,False,False,False,False,0-0,720,motion,"['rgross', 'cbrock', 'ljacobs', 'lconiaris', 'kromard', 'xpayne', 'tcarpente']","['bbergmeie', 'cmccutche', 'cberry', 'aroy', 'jkittlese', 'bmatzuka', 'ddeclerck']",0,0,2021-08-15-MIN-IND,Q1
kromard,-8.05,55.09,rgross,1.09,58.9,,False,False,False,False,False,0-0,720,motion,"['rgross', 'cbrock', 'ljacobs', 'lconiaris', 'kromard', 'xpayne', 'tcarpente']","['bbergmeie', 'cmccutche', 'cberry', 'aroy', 'jkittlese', 'bmatzuka', 'ddeclerck']",0,0,2021-08-15-MIN-IND,Q1
rgross,1.09,58.9,ljacobs,14.32,66.75,,False,False,False,False,False,0-0,720,motion,"['rgross', 'cbrock', 'ljacobs', 'lconiaris', 'kromard', 'xpayne', 'tcarpente']","['bbergmeie', 'cmccutche', 'cberry', 'aroy', 'jkittlese', 'bmatzuka', 'ddeclerck']",0,0,2021-08-15-MIN-IND,Q1
ljacobs,14.32,66.75,cbrock,18.61,79.7,,False,False,False,False,False,0-0,720,motion,"['rgross', 'cbrock', 'ljacobs', 'lconiaris', 'kromard', 'xpayne', 'tcarpente']","['bbergmeie', 'cmccutche', 'cberry', 'aroy', 'jkittlese', 'bmatzuka', 'ddeclerck']",0,0,2021-08-15-MIN-IND,Q1
cbrock,18.61,79.7,xpayne,13.36,67.22,,False,False,False,False,False,0-0,720,motion,"['rgross', 'cbrock', 'ljacobs', 'lconiaris', 'kromard', 'xpayne', 'tcarpente']","['bbergmeie', 'cmccutche', 'cberry', 'aroy', 'jkittlese', 'bmatzuka', 'ddeclerck']",0,0,2021-08-15-MIN-IND,Q1
xpayne,13.36,67.22,cbrock,22.43,78.13,,False,False,False,False,False,0-0,720,motion,"['rgross', 'cbrock', 'ljacobs', 'lconiaris', 'kromard', 'xpayne', 'tcarpente']","['bbergmeie', 'cmccutche', 'cberry', 'aroy', 'jkittlese', 'bmatzuka', 'ddeclerck']",0,0,2021-08-15-MIN-IND,Q1
cbrock,22.43,78.13,tcarpente,19.09,111.27,,False,False,False,False,True,1-0,720,motion,"['rgross', 'cbrock', 'ljacobs', 'lconiaris', 'kromard', 'xpayne', 'tcarpente']","['bbergmeie', 'cmccutche', 'cberry', 'aroy', 'jkittlese', 'bmatzuka', 'ddeclerck']",1,0,2021-08-15-MIN-IND,Q1
tpoletto,13.62,33.78,jklane,1.89,33.34,,False,False,False,False,False,1-0,673,pull,"['jvenegas', 'crae', 'mzetsch', 'chardesty', 'jfella', 'tdynes', 'nhutton']","['wbrandt', 'bvohnoutk', 'nvogt', 'cjurek', 'pkrenik', 'jklane', 'tpoletto']",1,0,2021-08-15-MIN-IND,Q1
jklane,1.89,33.34,cjurek,-11.52,47.03,,False,False,False,False,False,1-0,673,motion,"['jvenegas', 'crae', 'mzetsch', 'chardesty', 'jfella', 'tdynes', 'nhutton']","['wbrandt', 'bvohnoutk', 'nvogt', 'cjurek', 'pkrenik', 'jklane', 'tpoletto']",1,0,2021-08-15-MIN-IND,Q1
cjurek,-11.52,47.03,nvogt,9.54,84.83,,False,False,False,False,False,1-0,673,motion,"['jvenegas', 'crae', 'mzetsch', 'chardesty', 'jfella', 'tdynes', 'nhutton']","['wbrandt', 'bvohnoutk', 'nvogt', 'cjurek', 'pkrenik', 'jklane', 'tpoletto']",1,0,2021-08-15-MIN-IND,Q1
nvogt,9.54,84.83,wbrandt,10.12,84.39,,False,False,False,False,False,1-0,673,motion,"['jvenegas', 'crae', 'mzetsch', 'chardesty', 'jfella', 'tdynes', 'nhutton']","['wbrandt', 'bvohnoutk', 'nvogt', 'cjurek', 'pkrenik', 'jklane', 'tpoletto']",1,0,2021-08-15-MIN-IND,Q1
wbrandt,10.12,84.39,tpoletto,3.06,104.19,,False,False,False,False,True,1-1,673,motion,"['jvenegas', 'crae', 'mzetsch', 'chardesty', 'jfella', 'tdynes', 'nhutton']","['wbrandt', 'bvohnoutk', 'nvogt', 'cjurek', 'pkrenik', 'jklane', 'tpoletto']",1,1,2021-08-15-MIN-IND,Q1
tcarpente,12.68,35.59,xpayne,1.36,41.93,,False,False,False,False,False,1-1,645,pull,"['rgross', 'cbrock', 'ljacobs', 'lconiaris', 'kromard', 'xpayne', 'tcarpente']","['tthomegre', 'bmatis', 'rishaque', 'ihahn', 'ileonard', 'aroy', 'gpangburn']",1,1,2021-08-15-MIN-IND,Q1
xpayne,1.36,41.93,kromard,10.84,51.47,,False,False,False,False,False,1-1,645,motion,"['rgross', 'cbrock', 'ljacobs', 'lconiaris', 'kromard', 'xpayne', 'tcarpente']","['tthomegre', 'bmatis', 'rishaque', 'ihahn', 'ileonard', 'aroy', 'gpangburn']",1,1,2021-08-15-MIN-IND,Q1
kromard,10.84,51.47,cbrock,-2.26,96.13,,False,False,False,False,False,1-1,645,motion,"['rgross', 'cbrock', 'ljacobs', 'lconiaris', 'kromard', 'xpayne', 'tcarpente']","['tthomegre', 'bmatis', 'rishaque', 'ihahn', 'ileonard', 'aroy', 'gpangburn']",1,1,2021-08-15-MIN-IND,Q1
