,Rank,Team,Change,Prior,Date,Division
0,1,San Francisco Fury,-,1,2021-11-03,CLUB_WOMEN
1,2,Boston Brute Squad,+1,3,2021-11-03,CLUB_WOMEN
2,3,Raleigh Phoenix,+1,4,2021-11-03,CLUB_WOMEN
3,4,Denver Molly Brown,-2,2,2021-11-03,CLUB_WOMEN
4,5,Vancouver Traffic,-,5,2021-11-03,CLUB_WOMEN
5,6,Seattle Riot,-,6,2021-11-03,CLUB_WOMEN
6,7,Chicago Nemesis,+1,8,2021-11-03,CLUB_WOMEN
7,8,San Francisco Nightlock,+7,15,2021-11-03,CLUB_WOMEN
8,9,Portland Schwa,-2,7,2021-11-03,CLUB_WOMEN
9,10,Florida Tabby Rosa,+11,21,2021-11-03,CLUB_WOMEN
10,11,Pittsburgh Parcha,-,11,2021-11-03,CLUB_WOMEN
11,12,Washington DC Grit,-,12,2021-11-03,CLUB_WOMEN
12,13,Minneapolis Pop,+4,17,2021-11-03,CLUB_WOMEN
13,14,Columbus Rival,-5,9,2021-11-03,CLUB_WOMEN
14,15,New York BENT,-5,10,2021-11-03,CLUB_WOMEN
15,16,Boston Siege,-3,13,2021-11-03,CLUB_WOMEN
16,17,San Diego Wildfire,-3,14,2021-11-03,CLUB_WOMEN
17,18,Oakland LOL,-2,16,2021-11-03,CLUB_WOMEN
18,19,Seattle Underground,-1,18,2021-11-03,CLUB_WOMEN
19,20,Denver Small Batch,-1,19,2021-11-03,CLUB_WOMEN
20,21,Virginia Rebellion,-1,20,2021-11-03,CLUB_WOMEN
21,22,Albany Rebel Rebel,-,22,2021-11-03,CLUB_WOMEN
22,23,St. Louis Stellar,-,23,2021-11-03,CLUB_WOMEN
23,24,Houston Crush City,-,24,2021-11-03,CLUB_WOMEN
24,25,Philadelphia Flight,-,25,2021-11-03,CLUB_WOMEN
0,1,San Francisco Fury,-,1,2021-11-03,CLUB_WOMEN
1,2,Denver Molly Brown,-,2,2021-11-03,CLUB_WOMEN
2,3,Boston Brute Squad,-,3,2021-11-03,CLUB_WOMEN
3,4,Raleigh Phoenix,-,4,2021-11-03,CLUB_WOMEN
4,5,Vancouver Traffic,-,5,2021-11-03,CLUB_WOMEN
5,6,Seattle Riot,-,6,2021-11-03,CLUB_WOMEN
6,7,Portland Schwa,-,7,2021-11-03,CLUB_WOMEN
7,8,Chicago Nemesis,+1,9,2021-11-03,CLUB_WOMEN
8,9,Columbus Rival,-1,8,2021-11-03,CLUB_WOMEN
9,10,New York BENT,-,10,2021-11-03,CLUB_WOMEN
10,11,Pittsburgh Parcha,-,11,2021-11-03,CLUB_WOMEN
11,12,Washington DC Grit,-,12,2021-11-03,CLUB_WOMEN
12,13,Boston Siege,-,13,2021-11-03,CLUB_WOMEN
13,14,San Diego Wildfire,+2,16,2021-11-03,CLUB_WOMEN
14,15,San Francisco Nightlock,-,15,2021-11-03,CLUB_WOMEN
15,16,Oakland LOL,-2,14,2021-11-03,CLUB_WOMEN
16,17,Minneapolis Pop,-,17,2021-11-03,CLUB_WOMEN
17,18,Seattle Underground,-,18,2021-11-03,CLUB_WOMEN
18,19,Denver Small Batch,-,19,2021-11-03,CLUB_WOMEN
19,20,Virginia Rebellion,-,20,2021-11-03,CLUB_WOMEN
20,21,Florida Tabby Rosa,-,21,2021-11-03,CLUB_WOMEN
21,22,Albany Rebel Rebel,-,22,2021-11-03,CLUB_WOMEN
22,23,St. Louis Stellar,-,23,2021-11-03,CLUB_WOMEN
23,24,Houston Crush City,+1,25,2021-11-03,CLUB_WOMEN
24,25,Philadelphia Flight,,-,2021-11-03,CLUB_WOMEN
0,1,San Francisco Fury,-,1,2021-11-03,CLUB_WOMEN
1,2,Denver Molly Brown,-,2,2021-11-03,CLUB_WOMEN
2,3,Boston Brute Squad,-,3,2021-11-03,CLUB_WOMEN
3,4,Raleigh Phoenix,-,4,2021-11-03,CLUB_WOMEN
4,5,Vancouver Traffic,+1,6,2021-11-03,CLUB_WOMEN
5,6,Seattle Riot,+7,13,2021-11-03,CLUB_WOMEN
6,7,Portland Schwa,-2,5,2021-11-03,CLUB_WOMEN
7,8,Columbus Rival,-1,7,2021-11-03,CLUB_WOMEN
8,9,Chicago Nemesis,-1,8,2021-11-03,CLUB_WOMEN
9,10,New York BENT,+1,11,2021-11-03,CLUB_WOMEN
10,11,Pittsburgh Parcha,+1,12,2021-11-03,CLUB_WOMEN
11,12,Washington DC Grit,-3,9,2021-11-03,CLUB_WOMEN
12,13,Boston Siege,-3,10,2021-11-03,CLUB_WOMEN
13,14,Oakland LOL,-,14,2021-11-03,CLUB_WOMEN
14,15,San Francisco Nightlock,-,15,2021-11-03,CLUB_WOMEN
15,16,San Diego Wildfire,-,16,2021-11-03,CLUB_WOMEN
16,17,Minneapolis Pop,-,17,2021-11-03,CLUB_WOMEN
17,18,Seattle Underground,+4,22,2021-11-03,CLUB_WOMEN
18,19,Denver Small Batch,-,19,2021-11-03,CLUB_WOMEN
19,20,Virginia Rebellion,-2,18,2021-11-03,CLUB_WOMEN
20,21,Florida Tabby Rosa,-1,20,2021-11-03,CLUB_WOMEN
21,22,Albany Rebel Rebel,-1,21,2021-11-03,CLUB_WOMEN
22,23,St. Louis Stellar,-,23,2021-11-03,CLUB_WOMEN
23,24,Atlanta Ozone,+1,25,2021-11-03,CLUB_WOMEN
24,25,Houston Crush City,,-,2021-11-03,CLUB_WOMEN
0,1,San Francisco Fury,-,1,2021-11-03,CLUB_WOMEN
1,2,Denver Molly Brown,-,2,2021-11-03,CLUB_WOMEN
2,3,Boston Brute Squad,-,3,2021-11-03,CLUB_WOMEN
3,4,Raleigh Phoenix,-,4,2021-11-03,CLUB_WOMEN
4,5,Portland Schwa,-,5,2021-11-03,CLUB_WOMEN
5,6,Vancouver Traffic,-,6,2021-11-03,CLUB_WOMEN
6,7,Columbus Rival,+2,9,2021-11-03,CLUB_WOMEN
7,8,Chicago Nemesis,+2,10,2021-11-03,CLUB_WOMEN
8,9,Washington DC Grit,+2,11,2021-11-03,CLUB_WOMEN
9,10,Boston Siege,+2,12,2021-11-03,CLUB_WOMEN
10,11,New York BENT,+2,13,2021-11-03,CLUB_WOMEN
11,12,Pittsburgh Parcha,+2,14,2021-11-03,CLUB_WOMEN
12,13,Seattle Riot,-6,7,2021-11-03,CLUB_WOMEN
13,14,Oakland LOL,+4,18,2021-11-03,CLUB_WOMEN
14,15,San Francisco Nightlock,-7,8,2021-11-03,CLUB_WOMEN
15,16,San Diego Wildfire,+4,20,2021-11-03,CLUB_WOMEN
16,17,Minneapolis Pop,-2,15,2021-11-03,CLUB_WOMEN
17,18,Virginia Rebellion,-2,16,2021-11-03,CLUB_WOMEN
18,19,Denver Small Batch,-2,17,2021-11-03,CLUB_WOMEN
19,20,Florida Tabby Rosa,-1,19,2021-11-03,CLUB_WOMEN
20,21,Albany Rebel Rebel,-,21,2021-11-03,CLUB_WOMEN
21,22,Seattle Underground,,-,2021-11-03,CLUB_WOMEN
22,23,St. Louis Stellar,-1,22,2021-11-03,CLUB_WOMEN
23,24,Madison Heist,-1,23,2021-11-03,CLUB_WOMEN
24,25,Atlanta Ozone,-1,24,2021-11-03,CLUB_WOMEN
0,1,San Francisco Fury,-,1,2021-11-03,CLUB_WOMEN
1,2,Denver Molly Brown,-,2,2021-11-03,CLUB_WOMEN
2,3,Boston Brute Squad,-,3,2021-11-03,CLUB_WOMEN
3,4,Raleigh Phoenix,-,4,2021-11-03,CLUB_WOMEN
4,5,Portland Schwa,-,5,2021-11-03,CLUB_WOMEN
5,6,Vancouver Traffic,-,6,2021-11-03,CLUB_WOMEN
6,7,Seattle Riot,-,7,2021-11-03,CLUB_WOMEN
7,8,San Francisco Nightlock,-,8,2021-11-03,CLUB_WOMEN
8,9,Columbus Rival,-,9,2021-11-03,CLUB_WOMEN
9,10,Chicago Nemesis,-,10,2021-11-03,CLUB_WOMEN
10,11,Washington DC Grit,-,11,2021-11-03,CLUB_WOMEN
11,12,Boston Siege,+1,13,2021-11-03,CLUB_WOMEN
12,13,New York BENT,-1,12,2021-11-03,CLUB_WOMEN
13,14,Pittsburgh Parcha,-,14,2021-11-03,CLUB_WOMEN
14,15,Minneapolis Pop,-,15,2021-11-03,CLUB_WOMEN
15,16,Virginia Rebellion,-,16,2021-11-03,CLUB_WOMEN
16,17,Denver Small Batch,-,17,2021-11-03,CLUB_WOMEN
17,18,Oakland LOL,-,18,2021-11-03,CLUB_WOMEN
18,19,Florida Tabby Rosa,-,19,2021-11-03,CLUB_WOMEN
19,20,San Diego Wildfire,-,20,2021-11-03,CLUB_WOMEN
20,21,Albany Rebel Rebel,,-,2021-11-03,CLUB_WOMEN
21,22,St. Louis Stellar,-1,21,2021-11-03,CLUB_WOMEN
22,23,Madison Heist,-1,22,2021-11-03,CLUB_WOMEN
23,24,Atlanta Ozone,-1,23,2021-11-03,CLUB_WOMEN
24,25,Seattle END,,-,2021-11-03,CLUB_WOMEN
0,1,San Francisco Fury,-,1,2021-11-03,CLUB_WOMEN
1,2,Denver Molly Brown,+3,5,2021-11-03,CLUB_WOMEN
