,Name,Team,#,PP,OPP,DPP,AST,GLS,BLK,+/-,Rcv Yds,Thr Yds,Yds,Cmp,Cmp%,HA,T,S,C,D,game_info
0,McDougall,LA,10,28,19,9,5,2,1,8,237,117,354,15,100,1,0,0,0,0,2021-08-21-SJ-LA
1,Brown,LA,81,26,7,19,3,1,3,6,123,176,299,19,95,1,1,0,0,0,2021-08-21-SJ-LA
2,Laurence,SJ,51,25,21,4,4,1,0,4,222,146,368,18,94,1,1,0,0,0,2021-08-21-SJ-LA
3,Kerr,SJ,66,27,23,4,4,4,0,4,281,244,525,26,89,1,3,0,0,1,2021-08-21-SJ-LA
4,Van Deusen,LA,99,22,19,3,4,1,1,4,79,277,356,30,93,6,2,0,0,0,2021-08-21-SJ-LA
5,Ransom,LA,25,20,2,18,2,1,2,4,113,88,201,12,92,0,1,0,0,0,2021-08-21-SJ-LA
6,Cook,LA,29,26,21,5,1,5,0,4,225,110,335,17,94,1,1,0,0,1,2021-08-21-SJ-LA
7,Norden,SJ,3,28,22,6,4,1,0,3,117,598,715,63,96,5,2,0,0,0,2021-08-21-SJ-LA
8,Lung,SJ,48,17,4,13,2,0,1,3,52,148,200,12,100,1,0,0,0,0,2021-08-21-SJ-LA
9,Earley,SJ,84,22,20,2,1,4,0,3,213,3,216,5,83,0,1,0,0,1,2021-08-21-SJ-LA
10,Steiner,LA,12,25,4,21,1,1,2,3,106,121,227,16,94,1,1,0,0,0,2021-08-21-SJ-LA
11,Tien,SJ,7,23,5,18,1,0,1,2,85,49,134,10,100,0,0,0,0,0,2021-08-21-SJ-LA
12,Stearns,SJ,21,16,4,12,1,2,0,2,154,28,182,5,83,1,1,0,0,0,2021-08-21-SJ-LA
13,Osborne,LA,24,23,17,6,1,3,0,2,254,17,271,18,94,2,1,0,0,1,2021-08-21-SJ-LA
14,Thahir,SJ,12,19,18,1,1,1,1,1,169,49,218,9,81,1,2,0,0,0,2021-08-21-SJ-LA
15,Miller,SJ,0,17,3,14,0,1,0,1,29,12,41,1,100,0,0,0,0,0,2021-08-21-SJ-LA
16,Magsig,SJ,,16,2,14,0,1,0,1,25,13,38,4,100,0,0,0,0,0,2021-08-21-SJ-LA
17,Grant,SJ,13,11,0,11,0,1,0,1,12,8,20,1,100,1,0,0,0,0,2021-08-21-SJ-LA
18,"Chang, S",SJ,30,23,21,2,0,1,1,1,169,252,421,43,97,2,1,0,0,0,2021-08-21-SJ-LA
19,Johnson,LA,6,14,1,13,0,0,1,1,39,-12,27,3,100,0,0,0,0,0,2021-08-21-SJ-LA
20,Miller,LA,20,19,2,17,0,1,0,1,21,101,122,10,100,0,0,0,0,0,2021-08-21-SJ-LA
21,Gall,LA,27,20,18,2,1,1,0,1,-35,184,149,28,96,0,1,0,0,0,2021-08-21-SJ-LA
22,Fontaine,LA,2,24,19,5,2,1,2,1,105,183,288,30,90,1,3,0,0,1,2021-08-21-SJ-LA
23,Baumer,LA,42,5,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2021-08-21-SJ-LA
24,Williams,SJ,87,19,3,16,0,2,0,0,57,-6,51,1,33,0,2,0,0,0,2021-08-21-SJ-LA
25,Taylor,SJ,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-21-SJ-LA
26,Sokolowsky,SJ,24,14,3,11,0,0,0,0,24,103,127,10,100,2,0,0,0,0,2021-08-21-SJ-LA
27,Petrowski,SJ,85,8,0,8,2,0,0,0,79,23,102,4,66,0,1,1,0,0,2021-08-21-SJ-LA
28,Levinsky,SJ,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-21-SJ-LA
29,Ishii,SJ,20,8,0,8,0,0,0,0,-5,32,27,5,100,0,0,0,0,0,2021-08-21-SJ-LA
30,Shoyer,LA,15,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-21-SJ-LA
31,Padula,LA,9,25,3,22,0,1,0,0,37,54,91,11,91,5,1,0,0,0,2021-08-21-SJ-LA
32,Ladner,LA,21,4,4,0,0,0,0,0,27,-28,-1,6,100,0,0,0,0,0,2021-08-21-SJ-LA
33,Kasprzycki,LA,60,14,3,11,1,0,0,0,16,22,38,1,50,0,1,0,0,0,2021-08-21-SJ-LA
34,Goldberg,LA,17,7,0,7,0,0,0,0,0,13,13,3,100,0,0,0,0,0,2021-08-21-SJ-LA
35,Moore,SJ,9,14,5,9,0,0,0,-1,15,7,22,1,100,0,0,0,0,1,2021-08-21-SJ-LA
