YEAR - TEAM,GAMES,POINTS_PLAYED,MINUTES,ASSISTSS,GOALS,BLOCKS,P/M,COMPLETIONS,COMPLETION_PERCENT,THROWING_YARDS,RECEIVING_YARDS,HOCKEY_ASSISTS,TURNS,STALLS,DROPS,CALLAHANS,HUCKS,HUCK_PERCENT,OFFESNIVE_PP,DEFENSIVE_PP,PULLS,PULL_PERCENT,PULL_HANGTIME,NAME,SEASON
2014 - CIN,6,95,94,2,0,3,-3,26,74.29,--,--,3,7,0,1,0,--,--,28,67,0,--,--,Aaron Bacon,regular season
2021 - DC,2,19,23,0,1,0,1,6,100,-11,58,0,0,0,0,0,0,0,0,19,0,--,--,Aaron Bartlett,regular season
2013 - NY,4,30,0,5,2,3,-4,37,75.51,--,--,0,12,0,2,0,--,--,19,11,0,--,--,Aaron Bell,regular season
2013 - NY,1,20,0,3,2,0,0,32,88.89,--,--,0,4,0,1,0,--,--,18,2,0,--,--,Aaron Bell,post-season
2017 - PIT,2,27,18,0,0,2,0,6,75,--,--,0,2,0,0,0,--,--,7,20,1,100,2.33,Aaron Buss,regular season
2016 - PIT,12,209,184,14,6,10,15,154,89.53,--,--,15,15,0,0,0,--,--,68,141,1,100,3.48,Aaron Buss,regular season
Career,14,236,202,14,6,12,15,160,88.89,--,--,15,17,0,0,0,--,--,75,161,2,100,2.91,Aaron Buss,regular season
2016 - PIT,2,8,4,1,0,0,1,4,100,--,--,1,0,0,0,0,--,--,2,6,0,--,--,Aaron Buss,post-season
2014 - CIN,7,99,91,0,5,2,3,19,90.48,--,--,0,2,0,2,0,--,--,15,84,0,--,--,Aaron Corley,regular season
2013 - CIN,12,143,0,4,5,8,7,45,81.82,--,--,0,10,0,0,0,--,--,21,122,0,--,--,Aaron Corley,regular season
2012 - CIN,7,14,0,1,3,5,6,24,88.89,--,--,0,3,0,0,0,--,--,7,7,0,--,--,Aaron Corley,regular season
Career,26,256,91,5,13,15,16,88,85.44,--,--,0,15,0,2,0,--,--,43,213,0,--,--,Aaron Corley,regular season
2017 - DET,6,114,118,4,8,1,-6,46,75.41,--,--,4,13,0,6,0,--,--,78,36,4,100,--,Aaron Del Real,regular season
2016 - DET,11,183,199,13,19,6,25,76,83.52,--,--,6,12,0,1,0,--,--,150,33,0,--,--,Aaron Del Real,regular season
2015 - DET,9,243,237,12,26,7,25,107,88.43,--,--,8,14,0,6,0,--,--,211,32,0,--,--,Aaron Del Real,regular season
2014 - DET,9,213,209,18,20,4,23,103,85.83,--,--,8,12,0,7,0,--,--,179,34,3,100,5.23,Aaron Del Real,regular season
2012 - DET,8,33,0,5,10,10,10,86,96.63,--,--,0,10,0,5,0,--,--,17,16,0,--,--,Aaron Del Real,regular season
Career,43,786,763,52,83,28,77,418,86.72,--,--,26,61,0,25,0,--,--,635,151,7,100,5.23,Aaron Del Real,regular season
2018 - DC,7,68,54,2,4,4,7,12,85.71,--,--,0,2,0,1,0,--,--,5,63,0,--,--,Aaron Langley,regular season
