pull_type,time,pull_x,pull_y,thrower_id
PULL_INBOUNDS,9721.0,12.24,116.35,abarden
PULL_INBOUNDS,3704.0,-16.03,98.95,cbubernak
PULL_INBOUNDS,7333.0,2.69,70.84,abarden
PULL_INBOUNDS,5684.0,-4.96,79.36,klaneiii
PULL_INBOUNDS,4975.0,-10.72,106.01,nmahan
PULL_INBOUNDS,6650.0,15.75,107.45,
PULL_INBOUNDS,13410.0,-25.51,47.45,bfein
PULL_INBOUNDS,6714.0,-23.39,92.98,abarden
PULL_INBOUNDS,25889.0,0.0,80.0,
PULL_INBOUNDS,5466.0,-12.61,83.3,broach
PULL_OUT_OF_BOUNDS,,0.0,66.54,ktien
PULL_INBOUNDS,4774.0,0.0,80.0,
PULL_INBOUNDS,6186.0,0.0,80.0,bfein
PULL_INBOUNDS,13310.0,-25.24,59.52,bfein
PULL_INBOUNDS,5000.0,-14.12,91.22,sthompson
PULL_OUT_OF_BOUNDS,,0.0,80.0,abarden
PULL_INBOUNDS,7167.0,-0.22,84.39,klaneiii
PULL_OUT_OF_BOUNDS,,0.0,80.0,ktien
PULL_INBOUNDS,5148.0,-0.66,94.29,abarden
PULL_INBOUNDS,16275.0,24.82,33.88,mcrawford
PULL_INBOUNDS,950.0,22.51,30.87,broach
PULL_INBOUNDS,8510.0,11.94,103.9,abarden
PULL_INBOUNDS,7602.0,0.21,85.26,abarden
PULL_INBOUNDS,6378.0,13.26,99.99,klaneiii
PULL_INBOUNDS,8001.0,-0.95,100.0,abarden
PULL_INBOUNDS,7039.0,0.0,80.0,ktien
PULL_INBOUNDS,3398.0,-26.33,72.81,bfein
PULL_INBOUNDS,6428.0,0.0,80.0,ktien
PULL_INBOUNDS,7484.0,6.92,109.44,abarden
PULL_INBOUNDS,7391.0,-1.68,99.02,klaneiii
PULL_INBOUNDS,7451.0,0.4,92.59,clung
PULL_INBOUNDS,14700.0,24.18,40.55,abarden
PULL_INBOUNDS,6593.0,8.88,98.51,klaneiii
PULL_INBOUNDS,6966.0,-7.85,97.49,ktien
PULL_OUT_OF_BOUNDS,,0.0,79.09,bfein
PULL_INBOUNDS,12177.0,-24.69,76.77,bfein
PULL_INBOUNDS,6260.0,7.36,100.97,ktien
PULL_INBOUNDS,6929.0,-6.62,84.88,ktien
PULL_INBOUNDS,7668.0,7.16,107.99,bfein
PULL_INBOUNDS,7019.0,0.2,95.93,ktien
PULL_INBOUNDS,5745.0,-7.0,97.06,abarden
