,Rank,Team,Change,Prior,Date,Division
0,1,Seattle BFG,-,1,2021-11-03,CLUB_MIXED
1,2,Seattle Mixtape,-,2,2021-11-03,CLUB_MIXED
2,3,Ann Arbor Hybrid,+4,7,2021-11-03,CLUB_MIXED
3,4,Minneapolis Drag’N Thrust,+2,6,2021-11-03,CLUB_MIXED
4,5,Philadelphia AMP,-1,4,2021-11-03,CLUB_MIXED
5,6,Madison NOISE,+13,19,2021-11-03,CLUB_MIXED
6,7,Boston Slow,+1,8,2021-11-03,CLUB_MIXED
7,8,Boston Sprocket,+1,9,2021-11-03,CLUB_MIXED
8,9,Fort Collins shame.,-6,3,2021-11-03,CLUB_MIXED
9,10,Denver Love Tractor,+12,22,2021-11-03,CLUB_MIXED
10,11,Arizona Lawless,-1,10,2021-11-03,CLUB_MIXED
11,12,Washington DC Space Heater,-7,5,2021-11-03,CLUB_MIXED
12,13,Boise Lochsa,+4,17,2021-11-03,CLUB_MIXED
13,14,Nashville ‘Shine,-3,11,2021-11-03,CLUB_MIXED
14,15,Durham Toro,-3,12,2021-11-03,CLUB_MIXED
15,16,Columbus Cocktails,-3,13,2021-11-03,CLUB_MIXED
16,17,Cleveland Crocs,-3,14,2021-11-03,CLUB_MIXED
17,18,Dallas Public Enemy,+5,23,2021-11-03,CLUB_MIXED
18,19,San Francisco Polar Bears,-4,15,2021-11-03,CLUB_MIXED
19,20,Chicago U54 Ultimate,-4,16,2021-11-03,CLUB_MIXED
20,21,Seattle Sorta,-3,18,2021-11-03,CLUB_MIXED
21,22,Montana MOONDOG,-1,21,2021-11-03,CLUB_MIXED
22,23,Los Angeles Lotus,+1,24,2021-11-03,CLUB_MIXED
23,24,New York XIST,-4,20,2021-11-03,CLUB_MIXED
24,25,Washington DC Rally,-,25,2021-11-03,CLUB_MIXED
0,1,Seattle BFG,-,1,2021-11-03,CLUB_MIXED
1,2,Seattle Mixtape,-,2,2021-11-03,CLUB_MIXED
2,3,Fort Collins shame.,-,3,2021-11-03,CLUB_MIXED
3,4,Philadelphia AMP,-,4,2021-11-03,CLUB_MIXED
4,5,Washington DC Space Heater,-,5,2021-11-03,CLUB_MIXED
5,6,Minneapolis Drag’N Thrust,-,6,2021-11-03,CLUB_MIXED
6,7,Ann Arbor Hybrid,+2,9,2021-11-03,CLUB_MIXED
7,8,Boston Slow,-,8,2021-11-03,CLUB_MIXED
8,9,Boston Sprocket,+1,10,2021-11-03,CLUB_MIXED
9,10,Arizona Lawless,+2,12,2021-11-03,CLUB_MIXED
10,11,Nashville ‘Shine,+8,19,2021-11-03,CLUB_MIXED
11,12,Durham Toro,-5,7,2021-11-03,CLUB_MIXED
12,13,Columbus Cocktails,+1,14,2021-11-03,CLUB_MIXED
13,14,Cleveland Crocs,-3,11,2021-11-03,CLUB_MIXED
14,15,San Francisco Polar Bears,+6,21,2021-11-03,CLUB_MIXED
15,16,Chicago U54 Ultimate,-1,15,2021-11-03,CLUB_MIXED
16,17,Boise Lochsa,-1,16,2021-11-03,CLUB_MIXED
17,18,Seattle Sorta,-1,17,2021-11-03,CLUB_MIXED
18,19,Madison NOISE,-1,18,2021-11-03,CLUB_MIXED
19,20,New York XIST,+2,22,2021-11-03,CLUB_MIXED
20,21,Montana MOONDOG,+2,23,2021-11-03,CLUB_MIXED
21,22,Denver Love Tractor,+2,24,2021-11-03,CLUB_MIXED
22,23,Dallas Public Enemy,+2,25,2021-11-03,CLUB_MIXED
23,24,Los Angeles Lotus,-4,20,2021-11-03,CLUB_MIXED
24,25,Washington DC Rally,,-,2021-11-03,CLUB_MIXED
0,1,Seattle BFG,+1,2,2021-11-03,CLUB_MIXED
1,2,Seattle Mixtape,+1,3,2021-11-03,CLUB_MIXED
2,3,Fort Collins shame.,+1,4,2021-11-03,CLUB_MIXED
3,4,Philadelphia AMP,+2,6,2021-11-03,CLUB_MIXED
4,5,Washington DC Space Heater,-4,1,2021-11-03,CLUB_MIXED
5,6,Minneapolis Drag’N Thrust,-1,5,2021-11-03,CLUB_MIXED
6,7,Durham Toro,-,7,2021-11-03,CLUB_MIXED
