,Rank,Team,Change,Prior,Date,Division
0,1,North Carolina,-,1,2022-02-16,D1_MEN
1,2,Georgia,-,2,2022-02-16,D1_MEN
2,3,Colorado,-,3,2022-02-16,D1_MEN
3,4,Brown,-,4,2022-02-16,D1_MEN
4,5,Brigham Young,-,5,2022-02-16,D1_MEN
5,6,Washington,-,6,2022-02-16,D1_MEN
6,7,Massachusetts,+1,8,2022-02-16,D1_MEN
7,8,Cal Poly SLO,+2,10,2022-02-16,D1_MEN
8,9,Pittsburgh,+2,11,2022-02-16,D1_MEN
9,10,Minnesota,+2,12,2022-02-16,D1_MEN
10,11,Michigan,-4,7,2022-02-16,D1_MEN
11,12,Texas,+1,13,2022-02-16,D1_MEN
12,13,Northeastern,+1,14,2022-02-16,D1_MEN
13,14,Vermont,,-,2022-02-16,D1_MEN
14,15,NC State,-6,9,2022-02-16,D1_MEN
15,16,Ohio State,-,16,2022-02-16,D1_MEN
16,17,Carleton,-2,15,2022-02-16,D1_MEN
17,18,Tufts,-1,17,2022-02-16,D1_MEN
18,19,Oregon,-1,18,2022-02-16,D1_MEN
19,20,Wisconsin,-,20,2022-02-16,D1_MEN
20,21,Florida,-,21,2022-02-16,D1_MEN
21,22,California,-,22,2022-02-16,D1_MEN
22,23,UCLA,-,23,2022-02-16,D1_MEN
23,24,UNC Wilmington,-5,19,2022-02-16,D1_MEN
24,25,Illinois,-1,24,2022-02-16,D1_MEN
0,1,North Carolina,-,1,2022-02-16,D1_MEN
1,2,Georgia,-,2,2022-02-16,D1_MEN
2,3,Colorado,+1,4,2022-02-16,D1_MEN
3,4,Brown,+2,6,2022-02-16,D1_MEN
4,5,Brigham Young,-2,3,2022-02-16,D1_MEN
5,6,Washington,-1,5,2022-02-16,D1_MEN
6,7,Michigan,+2,9,2022-02-16,D1_MEN
7,8,Massachusetts,+5,13,2022-02-16,D1_MEN
8,9,NC State,+1,10,2022-02-16,D1_MEN
9,10,Cal Poly SLO,-3,7,2022-02-16,D1_MEN
10,11,Pittsburgh,+6,17,2022-02-16,D1_MEN
11,12,Minnesota,-4,8,2022-02-16,D1_MEN
12,13,Texas,-2,11,2022-02-16,D1_MEN
13,14,Northeastern,-2,12,2022-02-16,D1_MEN
14,15,Carleton,-1,14,2022-02-16,D1_MEN
15,16,Ohio State,-1,15,2022-02-16,D1_MEN
16,17,Tufts,-1,16,2022-02-16,D1_MEN
17,18,Oregon,-,18,2022-02-16,D1_MEN
18,19,UNC Wilmington,-,19,2022-02-16,D1_MEN
19,20,Wisconsin,-,20,2022-02-16,D1_MEN
20,21,Florida,,-,2022-02-16,D1_MEN
21,22,California,-1,21,2022-02-16,D1_MEN
22,23,UCLA,-1,22,2022-02-16,D1_MEN
23,24,Illinois,-1,23,2022-02-16,D1_MEN
24,25,Tulane,-1,24,2022-02-16,D1_MEN
0,1,North Carolina,-,1,2022-02-16,D1_MEN
1,2,Georgia,-,2,2022-02-16,D1_MEN
2,3,Brigham Young,,-,2022-02-16,D1_MEN
3,4,Colorado,-,4,2022-02-16,D1_MEN
4,5,Washington,+1,6,2022-02-16,D1_MEN
5,6,Brown,-3,3,2022-02-16,D1_MEN
6,7,Cal Poly SLO,+2,9,2022-02-16,D1_MEN
7,8,Minnesota,+12,20,2022-02-16,D1_MEN
8,9,Michigan,-4,5,2022-02-16,D1_MEN
9,10,NC State,+2,12,2022-02-16,D1_MEN
10,11,Texas,-3,8,2022-02-16,D1_MEN
11,12,Northeastern,+2,14,2022-02-16,D1_MEN
12,13,Massachusetts,+12,25,2022-02-16,D1_MEN
13,14,Carleton,-7,7,2022-02-16,D1_MEN
14,15,Ohio State,-5,10,2022-02-16,D1_MEN
15,16,Tufts,+7,23,2022-02-16,D1_MEN
16,17,Pittsburgh,-2,15,2022-02-16,D1_MEN
17,18,Oregon,,-,2022-02-16,D1_MEN
18,19,UNC Wilmington,-8,11,2022-02-16,D1_MEN
19,20,Wisconsin,-4,16,2022-02-16,D1_MEN
20,21,California,,-,2022-02-16,D1_MEN
21,22,UCLA,+2,24,2022-02-16,D1_MEN
22,23,Illinois,,-,2022-02-16,D1_MEN
23,24,Tulane,-11,13,2022-02-16,D1_MEN
24,25,Utah,,-,2022-02-16,D1_MEN
0,1,North Carolina,,,2022-02-16,D1_MEN
1,2,Georgia,,,2022-02-16,D1_MEN
2,3,Brown,,,2022-02-16,D1_MEN
3,4,Colorado,,,2022-02-16,D1_MEN
4,5,Michigan,,,2022-02-16,D1_MEN
5,6,Washington,,,2022-02-16,D1_MEN
6,7,Carleton,,,2022-02-16,D1_MEN
7,8,Texas,,,2022-02-16,D1_MEN
8,9,Cal Poly SLO,,,2022-02-16,D1_MEN
9,10,Ohio State,,,2022-02-16,D1_MEN
10,11,UNC Wilmington,,,2022-02-16,D1_MEN
11,12,NC State,,,2022-02-16,D1_MEN
12,13,Tulane,,,2022-02-16,D1_MEN
13,14,Northeastern,,,2022-02-16,D1_MEN
14,15,Pittsburgh,,,2022-02-16,D1_MEN
15,16,Wisconsin,,,2022-02-16,D1_MEN
16,17,UC San Diego,,,2022-02-16,D1_MEN
17,18,Colorado State,,,2022-02-16,D1_MEN
18,19,Stanford,,,2022-02-16,D1_MEN
19,20,Minnesota,,,2022-02-16,D1_MEN
20,21,UC Santa Barbara,,,2022-02-16,D1_MEN
21,22,Virginia Tech,,,2022-02-16,D1_MEN
22,23,Tufts,,,2022-02-16,D1_MEN
23,24,UCLA,,,2022-02-16,D1_MEN
24,25,Massachusetts,,,2022-02-16,D1_MEN
0,1,North Carolina,-,1,2021-12-01,D1_MEN
1,2,Colorado,-,2,2021-12-01,D1_MEN
2,3,Washington,-,3,2021-12-01,D1_MEN
3,4,Carleton,-,4,2021-12-01,D1_MEN
4,5,Brown,-,5,2021-12-01,D1_MEN
5,6,Pittsburgh,-,6,2021-12-01,D1_MEN
6,7,Texas,-,7,2021-12-01,D1_MEN
7,8,NC State,-,8,2021-12-01,D1_MEN
8,9,Cal Poly SLO,-,9,2021-12-01,D1_MEN
9,10,Georgia,-,10,2021-12-01,D1_MEN
10,11,Michigan,-,11,2021-12-01,D1_MEN
11,12,Ohio State,-,12,2021-12-01,D1_MEN
12,13,Northeastern,-,13,2021-12-01,D1_MEN
13,14,UNC Wilmington,-,14,2021-12-01,D1_MEN
14,15,Wisconsin,-,15,2021-12-01,D1_MEN
15,16,UC San Diego,-,16,2021-12-01,D1_MEN
16,17,Colorado State,-,17,2021-12-01,D1_MEN
17,18,Stanford,-,18,2021-12-01,D1_MEN
18,19,Minnesota,-,19,2021-12-01,D1_MEN
19,20,UC Santa Barbara,-,20,2021-12-01,D1_MEN
20,21,Tufts,-,21,2021-12-01,D1_MEN
21,22,Virginia Tech,-,22,2021-12-01,D1_MEN
22,23,Tulane,,-,2021-12-01,D1_MEN
23,24,UCLA,-1,23,2021-12-01,D1_MEN
24,25,Massachusetts,-1,24,2021-12-01,D1_MEN
0,1,North Carolina,-,1,2021-12-01,D1_MEN
1,2,Colorado,-,2,2021-12-01,D1_MEN
2,3,Washington,-,3,2021-12-01,D1_MEN
3,4,Carleton,-,4,2021-12-01,D1_MEN
4,5,Brown,-,5,2021-12-01,D1_MEN
5,6,Pittsburgh,-,6,2021-12-01,D1_MEN
6,7,Texas,-,7,2021-12-01,D1_MEN
7,8,NC State,-,8,2021-12-01,D1_MEN
8,9,Cal Poly SLO,-,9,2021-12-01,D1_MEN
9,10,Georgia,-,10,2021-12-01,D1_MEN
10,11,Michigan,-,11,2021-12-01,D1_MEN
11,12,Ohio State,-,12,2021-12-01,D1_MEN
12,13,Northeastern,+1,14,2021-12-01,D1_MEN
13,14,UNC Wilmington,-1,13,2021-12-01,D1_MEN
14,15,Wisconsin,+7,22,2021-12-01,D1_MEN
15,16,UC San Diego,,-,2021-12-01,D1_MEN
16,17,Colorado State,+1,18,2021-12-01,D1_MEN
17,18,Stanford,-2,16,2021-12-01,D1_MEN
18,19,Minnesota,,-,2021-12-01,D1_MEN
19,20,UC Santa Barbara,-1,19,2021-12-01,D1_MEN
20,21,Tufts,+4,25,2021-12-01,D1_MEN
21,22,Virginia Tech,-1,21,2021-12-01,D1_MEN
22,23,UCLA,-3,20,2021-12-01,D1_MEN
23,24,Massachusetts,-7,17,2021-12-01,D1_MEN
24,25,Utah State,-2,23,2021-12-01,D1_MEN
0,1,North Carolina,-,1,2021-12-01,D1_MEN
1,2,Colorado,-,2,2021-12-01,D1_MEN
2,3,Washington,+1,4,2021-12-01,D1_MEN
3,4,Carleton,-1,3,2021-12-01,D1_MEN
4,5,Brown,-,5,2021-12-01,D1_MEN
5,6,Pittsburgh,-,6,2021-12-01,D1_MEN
6,7,Texas,-,7,2021-12-01,D1_MEN
7,8,NC State,-,8,2021-12-01,D1_MEN
8,9,Cal Poly SLO,-,9,2021-12-01,D1_MEN
9,10,Georgia,-,10,2021-12-01,D1_MEN
10,11,Michigan,-,11,2021-12-01,D1_MEN
11,12,Ohio State,-,12,2021-12-01,D1_MEN
12,13,UNC Wilmington,+2,15,2021-12-01,D1_MEN
13,14,Northeastern,+2,16,2021-12-01,D1_MEN
14,15,UT Dallas,+2,17,2021-12-01,D1_MEN
15,16,Stanford,+2,18,2021-12-01,D1_MEN
