,Rank,Team,Change,Prior,Date,Division
0,1,Middlebury,,,1/6/22,D3_WOMEN
1,2,Portland,,,1/6/22,D3_WOMEN
2,3,Truman State,,,1/6/22,D3_WOMEN
3,4,Carleton Eclipse,,,1/6/22,D3_WOMEN
4,5,Occidental,,,1/6/22,D3_WOMEN
5,6,Michigan Tech,,,1/6/22,D3_WOMEN
6,7,Union,,,1/6/22,D3_WOMEN
7,8,Williams,,,1/6/22,D3_WOMEN
8,9,Rice,,,1/6/22,D3_WOMEN
9,10,Vassar,,,1/6/22,D3_WOMEN
10,11,Brandeis,,,1/6/22,D3_WOMEN
11,12,Rochester,,,1/6/22,D3_WOMEN
12,13,Richmond,,,1/6/22,D3_WOMEN
13,14,St. Olaf,,,1/6/22,D3_WOMEN
14,15,Puget Sound,,,1/6/22,D3_WOMEN
15,16,Lehigh,,,1/6/22,D3_WOMEN
16,17,Cedarville,,,1/6/22,D3_WOMEN
17,18,Amherst,,,1/6/22,D3_WOMEN
18,19,Kenyon,,,1/6/22,D3_WOMEN
19,20,Wheaton,,,1/6/22,D3_WOMEN
20,21,SUNY Fredonia,,,1/6/22,D3_WOMEN
21,22,John Brown,,,1/6/22,D3_WOMEN
22,23,Stonehill,,,1/6/22,D3_WOMEN
23,24,Bates,,,1/6/22,D3_WOMEN
24,25,Wesleyan,,,1/6/22,D3_WOMEN
0,1,Truman State,-,1,12/1/21,D3_WOMEN
1,2,Carleton Eclipse,-,2,12/1/21,D3_WOMEN
2,3,Portland,-,3,12/1/21,D3_WOMEN
3,4,Middlebury,-,4,12/1/21,D3_WOMEN
4,5,Lehigh,-,5,12/1/21,D3_WOMEN
5,6,Union,-,6,12/1/21,D3_WOMEN
6,7,Brandeis,-,7,12/1/21,D3_WOMEN
7,8,Williams,-,8,12/1/21,D3_WOMEN
8,9,Cedarville,-,9,12/1/21,D3_WOMEN
9,10,Rice,-,10,12/1/21,D3_WOMEN
10,11,Michigan Tech,-,11,12/1/21,D3_WOMEN
11,12,Occidental,-,12,12/1/21,D3_WOMEN
12,13,Vassar,-,13,12/1/21,D3_WOMEN
13,14,Rochester,-,14,12/1/21,D3_WOMEN
14,15,St. Olaf,-,15,12/1/21,D3_WOMEN
15,16,Richmond,-,16,12/1/21,D3_WOMEN
16,17,Puget Sound,-,17,12/1/21,D3_WOMEN
17,18,Wheaton,-,18,12/1/21,D3_WOMEN
18,19,Amherst,-,19,12/1/21,D3_WOMEN
19,20,Kenyon,-,20,12/1/21,D3_WOMEN
20,21,SUNY Fredonia,-,21,12/1/21,D3_WOMEN
21,22,John Brown,-,22,12/1/21,D3_WOMEN
22,23,Stonehill,-,23,12/1/21,D3_WOMEN
23,24,Bates,-,24,12/1/21,D3_WOMEN
24,25,Wesleyan,-,25,12/1/21,D3_WOMEN
0,1,Truman State,-,1,12/1/21,D3_WOMEN
1,2,Carleton Eclipse,-,2,12/1/21,D3_WOMEN
2,3,Portland,-,3,12/1/21,D3_WOMEN
3,4,Middlebury,-,4,12/1/21,D3_WOMEN
4,5,Lehigh,1,6,12/1/21,D3_WOMEN
5,6,Union,1,7,12/1/21,D3_WOMEN
6,7,Brandeis,18,25,12/1/21,D3_WOMEN
7,8,Williams,-,8,12/1/21,D3_WOMEN
8,9,Cedarville,1,10,12/1/21,D3_WOMEN
9,10,Rice,1,11,12/1/21,D3_WOMEN
10,11,Michigan Tech,1,12,12/1/21,D3_WOMEN
11,12,Occidental,1,13,12/1/21,D3_WOMEN
12,13,Vassar,2,15,12/1/21,D3_WOMEN
13,14,Rochester,7,21,12/1/21,D3_WOMEN
14,15,St. Olaf,-1,14,12/1/21,D3_WOMEN
15,16,Richmond,-,16,12/1/21,D3_WOMEN
16,17,Puget Sound,1,18,12/1/21,D3_WOMEN
17,18,Wheaton,1,19,12/1/21,D3_WOMEN
18,19,Amherst,-14,5,12/1/21,D3_WOMEN
19,20,Kenyon,4,24,12/1/21,D3_WOMEN
20,21,SUNY Fredonia,1,22,12/1/21,D3_WOMEN
21,22,John Brown,1,23,12/1/21,D3_WOMEN
22,23,Stonehill,-3,20,12/1/21,D3_WOMEN
23,24,Bates,-15,9,12/1/21,D3_WOMEN
24,25,Wesleyan,-8,17,12/1/21,D3_WOMEN
0,1,Truman State,-,1,12/1/21,D3_WOMEN
